UF;Sivep;E-Sus Notifica;Painel Covid;Diferença Percentual
SP;202.775;3.776.827;2.469.849;52.91
SC;35.516;2.362.609;806.929;192.79
MG;74.821;1.345.044;1.123.913;19.67
RS;55.703;1.321.659;845.380;56.33
RJ;66.758;940.249;647.875;45.12
BA;32.920;927.851;803.664;15.45
GO;31.050;644.061;484.309;32.98
CE;28.638;513.016;538.301;-4.69
PA;26.262;440.025;417.523;5.38
PE;28.785;423.831;349.231;21.36
AM;21.370;388.259;349.123;11.2
PB;13.901;348.794;259.173;34.57
ES;9.025;315.855;382.138;-17.34
MA;9.927;306.473;242.401;26.43
PI;9.914;279.814;205.005;36.49
MS;13.150;268.806;215.598;24.67
RO;8.628;231.765;187.270;23.75
PR;47.968;220.706;846.105;-73.91
RN;9.240;214.896;196.261;9.49
MT;18.538;208.344;308.546;-32.47
AL;10.595;204.073;153.490;32.95
DF;21.243;202.092;344.364;-41.31
TO;5.050;161.202;140.975;14.34
SE;8.769;142.798;174.600;-18.21
RR;2.471;103.418;89.525;15.51
AP;2.776;101.759;97.542;4.32
AC;1.975;76.446;69.657;9.74
;;;;
