 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;5;49;95;96;17;11;64;337
"110037 Alto Alegre dos Parecis";-;-;-;12;15;7;-;-;-;34
"110040 Alto Paraíso";-;-;3;15;23;8;2;-;5;56
"110002 Ariquemes";-;114;173;392;577;-;-;-;-;1256
"110045 Buritis";-;5;8;78;92;59;110;24;-;376
"110003 Cabixi";-;-;-;14;5;-;-;-;10;29
"110004 Cacoal";8;-;59;109;193;261;136;159;34;959
"110070 Campo Novo de Rondônia";-;-;8;-;6;-;-;-;-;14
"110005 Cerejeiras";-;-;-;-;6;10;7;11;2;36
"110006 Colorado do Oeste";-;-;2;30;25;33;34;12;15;151
"110009 Espigão D'Oeste";-;7;8;4;6;-;5;4;5;39
"110010 Guajará-Mirim";-;51;342;373;211;48;63;69;-;1157
"110011 Jaru";-;6;289;351;186;139;139;99;-;1209
"110012 Ji-Paraná";1;9;97;206;238;174;120;152;6;1003
"110013 Machadinho D'Oeste";-;-;11;4;26;48;21;-;-;110
"110130 Mirante da Serra";-;5;-;6;10;10;-;-;-;31
"110140 Monte Negro";-;-;-;19;6;26;8;13;-;72
"110014 Nova Brasilândia D'Oeste";-;9;11;19;33;31;-;-;-;103
"110033 Nova Mamoré";-;8;26;54;61;25;13;28;-;215
"110143 Nova União";-;-;-;2;4;-;-;-;-;6
"110018 Pimenta Bueno";-;12;16;25;27;51;-;15;-;146
"110146 Pimenteiras do Oeste";-;-;3;29;5;6;-;-;-;43
"110020 Porto Velho";154;1102;2998;3950;3763;2457;1189;983;945;17541
"110025 Presidente Médici";-;-;-;15;17;7;22;32;-;93
"110028 Rolim de Moura";-;-;5;81;30;67;12;11;21;227
"110029 Santa Luzia D'Oeste";-;-;9;10;15;10;-;-;-;44
"110149 São Francisco do Guaporé";-;-;-;27;18;39;50;54;16;204
"110032 São Miguel do Guaporé";1;-;-;8;20;33;8;-;-;70
"110170 Urupá";-;-;-;-;-;-;4;5;-;9
"110180 Vale do Paraíso";-;-;-;14;-;-;-;1;46;61
"110030 Vilhena";25;14;103;213;685;574;423;294;83;2414
"120001 Acrelândia";2;-;-;-;10;28;-;-;-;40
"120010 Brasiléia";-;30;44;159;120;38;27;16;67;501
"120020 Cruzeiro do Sul";-;30;326;1210;1258;782;716;285;170;4777
"120030 Feijó";-;-;-;-;-;-;-;2;1;3
"120034 Manoel Urbano";-;-;-;-;-;6;-;-;-;6
"120038 Plácido de Castro";-;-;-;4;-;-;-;-;-;4
"120040 Rio Branco";-;42;1218;957;1033;749;1027;1118;1953;8097
"120050 Sena Madureira";-;13;142;83;102;72;60;26;143;641
"120045 Senador Guiomard";-;-;-;17;7;-;-;-;-;24
"120060 Tarauacá";-;4;-;-;-;27;23;14;44;112
"120070 Xapuri";-;-;-;1;50;17;33;20;11;132
"130002 Alvarães";-;123;125;85;46;24;43;-;-;446
"130006 Amaturá";-;46;21;15;-;-;-;-;-;82
"130014 Apuí";-;18;41;27;7;-;-;-;-;93
"130020 Atalaia do Norte";-;4;80;3;12;-;19;38;-;156
"130030 Autazes";-;110;-;20;5;13;31;28;13;220
"130040 Barcelos";-;-;-;111;-;-;-;-;-;111
"130060 Benjamin Constant";-;107;36;60;16;32;28;17;-;296
"130068 Boa Vista do Ramos";-;20;-;111;7;117;17;125;50;447
"130070 Boca do Acre";-;57;77;134;39;54;50;60;-;471
"130080 Borba";12;138;109;27;-;22;4;9;124;445
"130100 Carauari";-;-;-;26;61;71;51;93;79;381
"130110 Careiro";-;83;39;11;101;5;5;2;6;252
"130120 Coari";-;297;377;44;70;85;129;110;72;1184
"130130 Codajás";-;-;-;-;103;16;65;49;-;233
"130140 Eirunepé";-;-;-;-;72;-;-;-;-;72
"130150 Envira";-;-;-;-;-;37;24;6;-;67
"130160 Fonte Boa";-;150;127;60;52;34;74;76;-;573
"130165 Guajará";-;7;73;170;82;4;20;2;-;358
"130170 Humaitá";4;88;177;500;192;131;29;34;37;1192
"130180 Ipixuna";-;-;-;-;-;117;153;159;-;429
"130185 Iranduba";27;17;-;2;9;-;44;160;-;259
"130190 Itacoatiara";108;558;506;323;52;175;198;-;-;1920
"130200 Itapiranga";-;-;-;-;-;-;13;80;-;93
"130210 Japurá";-;-;69;-;5;5;-;-;-;79
"130220 Juruá";-;-;-;-;-;42;-;-;-;42
"130230 Jutaí";-;-;-;-;19;18;7;-;-;44
"130250 Manacapuru";140;474;213;149;148;129;196;51;-;1500
"130260 Manaus";962;9836;17584;11533;6722;8814;7316;9156;-;71923
"130270 Manicoré";-;-;40;52;250;189;89;14;-;634
"130290 Maués";-;112;309;70;103;63;178;324;-;1159
