 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul-Dez/2020
"Município";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110001 Alta Floresta D'Oeste";13;27;28;4;4;17;93
"110037 Alto Alegre dos Parecis";3;5;4;-;-;-;12
"110040 Alto Paraíso";7;10;2;1;-;1;21
"110002 Ariquemes";54;77;-;-;-;-;131
"110045 Buritis";9;19;17;13;5;1;64
"110003 Cabixi";2;1;-;-;-;3;6
"110004 Cacoal";19;22;34;26;14;9;124
"110070 Campo Novo de Rondônia";-;1;-;-;-;-;1
"110005 Cerejeiras";-;2;3;2;2;1;10
"110006 Colorado do Oeste";5;7;6;5;4;3;30
"110094 Cujubim";5;5;-;2;2;-;14
"110009 Espigão D'Oeste";2;2;-;4;2;2;12
"110010 Guajará-Mirim";60;28;9;10;13;-;120
"110011 Jaru";62;42;28;21;20;-;173
"110012 Ji-Paraná";46;80;47;28;38;2;241
"110013 Machadinho D'Oeste";3;7;10;3;-;-;23
"110130 Mirante da Serra";1;2;2;-;-;-;5
"110140 Monte Negro";3;4;9;2;2;-;20
"110014 Nova Brasilândia D'Oeste";3;9;9;-;-;-;21
"110033 Nova Mamoré";19;14;7;4;6;-;50
"110143 Nova União";1;2;-;-;-;-;3
"110018 Pimenta Bueno";8;10;13;-;6;-;37
"110146 Pimenteiras do Oeste";7;2;3;-;-;-;12
"110020 Porto Velho";521;521;296;127;102;136;1703
"110025 Presidente Médici";2;2;2;3;6;-;15
"110028 Rolim de Moura";19;6;20;5;4;8;62
"110029 Santa Luzia D'Oeste";2;3;2;-;-;-;7
"110149 São Francisco do Guaporé";5;5;10;11;11;3;45
"110032 São Miguel do Guaporé";6;4;11;4;-;-;25
"110170 Urupá";-;-;-;3;2;-;5
"110180 Vale do Paraíso";2;-;-;-;1;10;13
"110030 Vilhena";43;93;81;50;30;19;316
"120001 Acrelândia";-;3;7;-;-;-;10
"120010 Brasiléia";35;27;9;7;3;17;98
"120020 Cruzeiro do Sul";135;108;72;79;49;42;485
"120030 Feijó";-;-;-;-;2;1;3
"120034 Manoel Urbano";-;-;1;-;-;-;1
"120038 Plácido de Castro";1;-;-;-;-;-;1
"120040 Rio Branco";107;96;66;93;87;125;574
