 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município e Ano/mês processamento
Período:Abr-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110001 Alta Floresta D'Oeste";101;87;65;98;98;108;119;84;94;854
"110037 Alto Alegre dos Parecis";25;15;23;22;22;27;29;31;-;194
"110040 Alto Paraíso";21;18;27;28;32;29;34;22;30;241
"110034 Alvorada D'Oeste";9;26;22;24;20;34;-;-;-;135
"110002 Ariquemes";387;437;427;478;489;13;25;22;20;2298
"110045 Buritis";100;67;42;99;85;85;92;97;43;710
"110003 Cabixi";26;26;24;15;12;11;15;10;19;158
"110060 Cacaulândia";1;3;-;-;-;-;-;-;-;4
"110004 Cacoal";796;840;786;778;747;626;734;592;705;6604
"110070 Campo Novo de Rondônia";3;1;4;5;6;7;4;-;-;30
"110005 Cerejeiras";66;62;46;46;49;44;44;58;40;455
"110006 Colorado do Oeste";28;29;18;20;26;29;30;24;27;231
"110008 Costa Marques";23;13;9;-;-;-;-;-;-;45
"110094 Cujubim";3;2;12;18;25;13;26;56;-;155
"110009 Espigão D'Oeste";125;81;74;76;113;92;117;102;82;862
"110010 Guajará-Mirim";193;224;254;268;233;204;272;226;-;1874
"110011 Jaru";172;168;203;217;229;231;254;220;-;1694
"110012 Ji-Paraná";484;395;442;516;476;510;547;511;13;3894
"110013 Machadinho D'Oeste";82;93;84;71;75;133;88;134;-;760
"110120 Ministro Andreazza";1;6;8;5;8;8;14;12;-;62
"110130 Mirante da Serra";14;11;10;16;12;20;-;-;-;83
"110140 Monte Negro";10;4;12;17;29;37;19;22;-;150
"110014 Nova Brasilândia D'Oeste";21;29;21;25;32;28;-;-;-;156
"110033 Nova Mamoré";29;30;31;53;52;48;42;53;-;338
"110143 Nova União";7;6;1;1;4;3;3;5;1;31
"110050 Novo Horizonte do Oeste";21;22;8;21;14;22;36;-;-;144
"110015 Ouro Preto do Oeste";171;185;-;-;-;-;-;-;-;356
"110145 Parecis";7;5;12;13;12;23;25;21;-;118
"110018 Pimenta Bueno";150;121;116;147;176;183;183;187;-;1263
"110146 Pimenteiras do Oeste";3;1;1;9;2;5;-;-;-;21
"110020 Porto Velho";3059;3190;2960;4035;4038;4522;3051;4072;3389;32316
"110025 Presidente Médici";46;34;34;36;42;36;51;57;53;389
"110026 Rio Crespo";6;6;6;5;2;4;3;3;-;35
"110028 Rolim de Moura";232;242;207;282;292;289;235;275;242;2296
"110029 Santa Luzia D'Oeste";37;24;18;34;30;32;21;30;-;226
"110149 São Francisco do Guaporé";164;140;74;96;51;88;56;56;14;739
"110032 São Miguel do Guaporé";89;93;60;83;103;98;117;108;-;751
"110150 Seringueiras";21;13;32;21;44;35;39;51;-;256
