 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Ago/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";27;27;40500,00;32291,73;-;-;8208,27;-;-;1500,00;1500,00;95;3,5;-;-
"110037 Alto Alegre dos Parecis";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;15;3,0;-;-
"110040 Alto Paraíso";10;10;15016,00;11975,90;-;-;3040,10;-;-;1501,60;1501,60;23;2,3;-;-
"110002 Ariquemes";77;77;400957,50;337513,33;-;-;63444,17;-;-;5207,24;5207,24;577;7,5;13;16,88
"110045 Buritis";19;19;28548,39;22772,20;-;-;5776,19;-;-;1502,55;1502,55;92;4,8;-;-
"110003 Cabixi";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;1;100,00
"110004 Cacoal";22;22;73076,02;61389,41;-;-;11686,61;-;-;3321,64;3321,64;193;8,8;4;18,18
"110070 Campo Novo de Rondônia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"110005 Cerejeiras";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"110006 Colorado do Oeste";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;25;3,6;-;-
