 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Dez/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";17;17;25500,00;20331,83;-;-;5168,17;-;-;1500,00;1500,00;64;3,8;-;-
"110040 Alto Paraíso";1;1;1540,00;1235,99;-;-;304,01;-;-;1540,00;1540,00;5;5,0;-;-
"110045 Buritis";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;-;-;-;-
"110003 Cabixi";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;10;3,3;-;-
"110004 Cacoal";9;9;15961,01;13224,94;-;-;2736,07;-;-;1773,45;1773,45;34;3,8;2;22,22
"110005 Cerejeiras";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"110006 Colorado do Oeste";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;15;5,0;-;-
"110009 Espigão D'Oeste";2;2;3040,00;2431,98;-;-;608,02;-;-;1520,00;1520,00;5;2,5;-;-
"110012 Ji-Paraná";2;2;4995,00;4183,58;-;-;811,42;-;-;2497,50;2497,50;6;3,0;1;50,00
"110020 Porto Velho";136;136;680247,29;577041,83;-;-;103205,46;-;-;5001,82;5001,82;945;6,9;16;11,76
"110028 Rolim de Moura";8;8;12048,00;9615,92;-;-;2432,08;-;-;1506,00;1506,00;21;2,6;-;-
"110149 São Francisco do Guaporé";3;3;4508,00;3595,97;-;-;912,03;-;-;1502,67;1502,67;16;5,3;-;-
"110180 Vale do Paraíso";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;46;4,6;-;-
"110030 Vilhena";19;19;33256,70;27480,51;-;-;5776,19;-;-;1750,35;1750,35;83;4,4;1;5,26
"120010 Brasiléia";17;17;25941,45;20773,28;-;-;5168,17;-;-;1525,97;1525,97;67;3,9;-;-
"120020 Cruzeiro do Sul";42;42;66138,87;53370,45;-;-;12768,42;-;-;1574,73;1574,73;170;4,0;3;7,14
"120030 Feijó";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;-;-
"120040 Rio Branco";125;125;673475,43;569499,81;-;-;103975,62;-;-;5387,80;5387,80;1953;15,6;22;17,60
"120050 Sena Madureira";28;28;42060,18;33536,29;-;-;8523,89;-;-;1502,15;1502,15;143;5,1;-;-
"120060 Tarauacá";11;11;16861,78;13517,67;-;-;3344,11;-;-;1532,89;1532,89;44;4,0;-;-
"120070 Xapuri";3;3;4532,00;3619,97;-;-;912,03;-;-;1510,67;1510,67;11;3,7;-;-
"130030 Autazes";4;4;6008,00;4791,96;-;-;1216,04;-;-;1502,00;1502,00;13;3,3;-;-
"130068 Boa Vista do Ramos";18;18;27000,00;21527,82;-;-;5472,18;-;-;1500,00;1500,00;50;2,8;1;5,56
"130080 Borba";32;32;48992,00;39263,68;-;-;9728,32;-;-;1531,00;1531,00;124;3,9;-;-
"130100 Carauari";13;13;21494,33;17495,76;-;-;3998,57;-;-;1653,41;1653,41;79;6,1;5;38,46
"130110 Careiro";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;6;2,0;-;-
"130120 Coari";18;18;27653,20;22181,02;-;-;5472,18;-;-;1536,29;1536,29;72;4,0;5;27,78
"130170 Humaitá";9;9;14323,97;11587,88;-;-;2736,09;-;-;1591,55;1591,55;37;4,1;-;-
"130320 Novo Airão";9;9;13692,00;10955,91;-;-;2736,09;-;-;1521,33;1521,33;25;2,8;-;-
"130340 Parintins";83;83;127686,15;102453,32;-;-;25232,83;-;-;1538,39;1538,39;625;7,5;5;6,02
"130356 Rio Preto da Eva";9;9;13796,00;11059,91;-;-;2736,09;-;-;1532,89;1532,89;47;5,2;-;-
"130423 Tonantins";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;12;4,0;2;66,67
"140010 Boa Vista";178;178;726820,69;611788,27;-;-;115032,42;-;-;4083,26;4083,26;1815;10,2;31;17,42
"140020 Caracaraí";1;1;1556,00;1251,99;-;-;304,01;-;-;1556,00;1556,00;7;7,0;-;-
"140047 Rorainópolis";2;2;3070,05;2462,03;-;-;608,02;-;-;1535,03;1535,03;9;4,5;-;-
"150010 Abaetetuba";22;22;33834,86;27146,64;-;-;6688,22;-;-;1537,95;1537,95;98;4,5;3;13,64
"150034 Água Azul do Norte";3;3;4532,00;3619,97;-;-;912,03;-;-;1510,67;1510,67;7;2,3;-;-
"150040 Alenquer";7;7;10716,00;8587,93;-;-;2128,07;-;-;1530,86;1530,86;35;5,0;1;14,29
"150060 Altamira";7;7;24885,72;20041,75;-;-;4843,97;-;-;3555,10;3555,10;53;7,6;5;71,43
"150080 Ananindeua";10;10;16799,89;13759,79;-;-;3040,10;-;-;1679,99;1679,99;44;4,4;-;-
"150090 Augusto Corrêa";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;10;5,0;-;-
"150130 Barcarena";9;9;13668,00;10931,91;-;-;2736,09;-;-;1518,67;1518,67;23;2,6;-;-
"150140 Belém";179;179;555647,55;464946,84;-;-;90700,71;-;-;3104,18;3104,18;1726;9,6;29;16,20
"150170 Bragança";27;27;282765,30;240704,23;-;-;42061,07;-;-;10472,79;10472,79;204;7,6;7;25,93
"150180 Breves";2;2;6288,58;5273,76;-;-;1014,82;-;-;3144,29;3144,29;13;6,5;-;-
"150240 Castanhal";52;52;90848,43;73738,25;-;-;17110,18;-;-;1747,09;1747,09;335;6,4;9;17,31
"150320 Igarapé-Açu";3;3;4572,00;3659,97;-;-;912,03;-;-;1524,00;1524,00;9;3,0;-;-
"150360 Itaituba";79;79;132396,03;108112,22;-;-;24283,81;-;-;1675,90;1675,90;746;9,4;40;50,63
"150390 Juruti";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;-;-
"150420 Marabá";23;23;177857,19;151547,16;-;-;26310,03;-;-;7732,92;7732,92;220;9,6;5;21,74
"150442 Marituba";1;1;1532,00;1227,99;-;-;304,01;-;-;1532,00;1532,00;4;4,0;-;-
"150495 Nova Esperança do Piriá";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"150543 Ourilândia do Norte";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;17;4,3;1;25,00
"150550 Paragominas";26;26;69484,09;57918,63;-;-;11565,46;-;-;2672,46;2672,46;218;8,4;3;11,54
"150553 Parauapebas";16;16;52427,89;43753,77;-;-;8674,12;-;-;3276,74;3276,74;246;15,4;5;31,25
"150570 Ponta de Pedras";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;19;3,8;-;-
"150600 Prainha";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;47;4,7;-;-
"150613 Redenção";26;26;40760,64;32848,64;-;-;7912,00;-;-;1567,72;1567,72;103;4,0;3;11,54
"150618 Rondon do Pará";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"150620 Salinópolis";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;1;50,00
"150670 Santana do Araguaia";13;13;19562,15;15610,02;-;-;3952,13;-;-;1504,78;1504,78;45;3,5;-;-
"150680 Santarém";40;40;235185,86;202452,36;-;-;32733,50;-;-;5879,65;5879,65;475;11,9;20;50,00
"150715 São Domingos do Araguaia";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;9;3,0;-;-
"150730 São Félix do Xingu";41;41;61604,00;49139,59;-;-;12464,41;-;-;1502,54;1502,54;156;3,8;3;7,32
"150747 São João de Pirabas";5;5;7652,00;6131,95;-;-;1520,05;-;-;1530,40;1530,40;23;4,6;1;20,00
"150805 Trairão";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;3;1,5;-;-
"150808 Tucumã";31;31;46990,26;37565,95;-;-;9424,31;-;-;1515,81;1515,81;107;3,5;1;3,23
"150820 Vigia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"150830 Viseu";6;6;9080,00;7255,94;-;-;1824,06;-;-;1513,33;1513,33;27;4,5;-;-
"150840 Xinguara";6;6;9818,46;7994,40;-;-;1824,06;-;-;1636,41;1636,41;23;3,8;-;-
"160010 Amapá";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;8;8,0;-;-
"160027 Laranjal do Jari";24;24;36048,00;28751,76;-;-;7296,24;-;-;1502,00;1502,00;67;2,8;1;4,17
"160030 Macapá";355;355;590718,50;474123,72;-;-;116594,78;-;-;1664,00;1664,00;3242;9,1;72;20,28
"160050 Oiapoque";29;29;43500,00;34683,71;-;-;8816,29;-;-;1500,00;1500,00;132;4,6;1;3,45
"170210 Araguaína";45;45;410192,66;348969,36;-;-;61223,30;-;-;9115,39;9115,39;369;8,2;11;24,44
"170550 Colinas do Tocantins";31;31;48176,92;38752,61;-;-;9424,31;-;-;1554,09;1554,09;89;2,9;-;-
"171790 Ponte Alta do Tocantins";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"172090 Taguatinga";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"172120 Tocantinópolis";5;5;7564,00;6043,95;-;-;1520,05;-;-;1512,80;1512,80;8;1,6;-;-
"210005 Açailândia";26;26;39235,05;31330,79;-;-;7904,26;-;-;1509,04;1509,04;99;3,8;-;-
"210080 Anapurus";1;1;1532,00;1227,99;-;-;304,01;-;-;1532,00;1532,00;5;5,0;-;-
