 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;49;3,8;1;7,69
"110037 Alto Alegre dos Parecis";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;12;4,0;-;-
"110040 Alto Paraíso";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;15;2,1;-;-
"110002 Ariquemes";54;54;432092,35;366146,21;-;-;65946,14;-;-;8001,71;8001,71;392;7,3;-;-
"110045 Buritis";9;9;13537,95;10801,86;-;-;2736,09;-;-;1504,22;1504,22;78;8,7;-;-
"110003 Cabixi";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;14;7,0;1;50,00
"110004 Cacoal";19;19;106622,07;90394,68;-;-;16227,39;-;-;5611,69;5611,69;109;5,7;5;26,32
"110006 Colorado do Oeste";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;30;6,0;-;-
"110094 Cujubim";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;-;-;-;-
"110009 Espigão D'Oeste";2;2;3032,00;2423,98;-;-;608,02;-;-;1516,00;1516,00;4;2,0;1;50,00
"110010 Guajará-Mirim";60;60;90448,00;72207,40;-;-;18240,60;-;-;1507,47;1507,47;373;6,2;9;15,00
"110011 Jaru";62;62;246552,95;207256,33;-;-;39296,62;-;-;3976,66;3976,66;351;5,7;2;3,23
"110012 Ji-Paraná";46;46;70052,91;56000,65;-;-;14052,26;-;-;1522,89;1522,89;206;4,5;1;2,17
"110013 Machadinho D'Oeste";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;4;1,3;-;-
"110130 Mirante da Serra";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"110140 Monte Negro";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;19;6,3;-;-
"110014 Nova Brasilândia D'Oeste";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;19;6,3;-;-
"110033 Nova Mamoré";19;19;28500,00;22723,81;-;-;5776,19;-;-;1500,00;1500,00;54;2,8;-;-
"110143 Nova União";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
