 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jun/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"110040 Alto Paraíso";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;3;1,5;-;-
"110002 Ariquemes";28;28;310680,24;264022,16;-;-;46658,08;-;-;11095,72;11095,72;173;6,2;2;7,14
"110045 Buritis";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;8;8,0;-;-
"110004 Cacoal";8;8;53192,05;45307,17;-;-;7884,88;-;-;6649,01;6649,01;59;7,4;1;12,50
"110070 Campo Novo de Rondônia";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;8;2,0;-;-
"110006 Colorado do Oeste";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"110094 Cujubim";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;-;-;-;-
"110009 Espigão D'Oeste";2;2;3064,00;2455,98;-;-;608,02;-;-;1532,00;1532,00;8;4,0;-;-
"110010 Guajará-Mirim";63;63;95157,30;76004,67;-;-;19152,63;-;-;1510,43;1510,43;342;5,4;6;9,52
"110011 Jaru";55;55;134672,00;110681,05;-;-;23990,95;-;-;2448,58;2448,58;289;5,3;5;9,09
"110012 Ji-Paraná";20;20;30241,30;24161,10;-;-;6080,20;-;-;1512,07;1512,07;97;4,8;1;5,00
"110013 Machadinho D'Oeste";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;11;2,8;-;-
"110014 Nova Brasilândia D'Oeste";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;11;11,0;-;-
"110033 Nova Mamoré";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;26;4,3;1;16,67
"110018 Pimenta Bueno";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;16;3,2;2;40,00
"110146 Pimenteiras do Oeste";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"110020 Porto Velho";531;531;1967433,26;1653339,08;-;-;314094,18;-;-;3705,15;3705,15;2998;5,6;82;15,44
"110028 Rolim de Moura";3;3;4516,00;3603,97;-;-;912,03;-;-;1505,33;1505,33;5;1,7;-;-
"110029 Santa Luzia D'Oeste";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;9;4,5;-;-
"110030 Vilhena";20;20;164205,84;139268,04;-;-;24937,80;-;-;8210,29;8210,29;103;5,2;3;15,00
"120010 Brasiléia";14;14;21298,45;17042,31;-;-;4256,14;-;-;1521,32;1521,32;44;3,1;1;7,14
"120020 Cruzeiro do Sul";53;53;119181,11;98524,59;-;-;20656,52;-;-;2248,70;2248,70;326;6,2;15;28,30
"120040 Rio Branco";139;139;447934,34;374266,17;-;-;73668,17;-;-;3222,55;3222,55;1218;8,8;53;38,13
"120050 Sena Madureira";18;18;27156,42;21657,15;-;-;5499,27;-;-;1508,69;1508,69;142;7,9;-;-
"130002 Alvarães";18;18;27000,00;21527,82;-;-;5472,18;-;-;1500,00;1500,00;125;6,9;1;5,56
"130006 Amaturá";5;5;7596,00;6075,95;-;-;1520,05;-;-;1519,20;1519,20;21;4,2;1;20,00
"130014 Apuí";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;41;5,9;-;-
"130020 Atalaia do Norte";13;13;19821,00;15868,87;-;-;3952,13;-;-;1524,69;1524,69;80;6,2;-;-
"130060 Benjamin Constant";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;36;4,0;-;-
"130070 Boca do Acre";16;16;24000,00;19135,84;-;-;4864,16;-;-;1500,00;1500,00;77;4,8;5;31,25
"130080 Borba";19;19;29340,00;23563,81;-;-;5776,19;-;-;1544,21;1544,21;109;5,7;1;5,26
"130110 Careiro";19;19;28500,00;22723,81;-;-;5776,19;-;-;1500,00;1500,00;39;2,1;-;-
"130120 Coari";91;91;140462,40;112797,49;-;-;27664,91;-;-;1543,54;1543,54;377;4,1;24;26,37
"130160 Fonte Boa";21;21;32028,00;25643,79;-;-;6384,21;-;-;1525,14;1525,14;127;6,0;6;28,57
"130165 Guajará";15;15;22500,00;17939,85;-;-;4560,15;-;-;1500,00;1500,00;73;4,9;-;-
"130170 Humaitá";39;39;58677,80;46821,41;-;-;11856,39;-;-;1504,56;1504,56;177;4,5;5;12,82
"130190 Itacoatiara";94;94;144301,26;115643,05;-;-;28658,21;-;-;1535,12;1535,12;506;5,4;4;4,26
