 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Nov/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;11;2,8;-;-
"110045 Buritis";5;5;7516,00;5995,95;-;-;1520,05;-;-;1503,20;1503,20;24;4,8;-;-
"110004 Cacoal";14;14;23507,40;19251,28;-;-;4256,12;-;-;1679,10;1679,10;159;11,4;-;-
"110005 Cerejeiras";2;2;3016,00;2407,98;-;-;608,02;-;-;1508,00;1508,00;11;5,5;-;-
"110006 Colorado do Oeste";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;12;3,0;-;-
"110094 Cujubim";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;-;-;-;-
"110009 Espigão D'Oeste";2;2;3032,00;2423,98;-;-;608,02;-;-;1516,00;1516,00;4;2,0;-;-
"110010 Guajará-Mirim";13;13;19597,40;15645,27;-;-;3952,13;-;-;1507,49;1507,49;69;5,3;-;-
"110011 Jaru";20;20;32062,37;25982,17;-;-;6080,20;-;-;1603,12;1603,12;99;5,0;-;-
"110012 Ji-Paraná";38;38;57538,28;45985,90;-;-;11552,38;-;-;1514,17;1514,17;152;4,0;2;5,26
"110140 Monte Negro";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;13;6,5;-;-
"110033 Nova Mamoré";6;6;9004,67;7180,61;-;-;1824,06;-;-;1500,78;1500,78;28;4,7;1;16,67
"110018 Pimenta Bueno";6;6;9445,01;7620,95;-;-;1824,06;-;-;1574,17;1574,17;15;2,5;-;-
"110020 Porto Velho";102;102;697463,51;597040,47;-;-;100423,04;-;-;6837,88;6837,88;983;9,6;16;15,69
"110025 Presidente Médici";6;6;9032,00;7207,94;-;-;1824,06;-;-;1505,33;1505,33;32;5,3;1;16,67
"110028 Rolim de Moura";4;4;6072,20;4856,16;-;-;1216,04;-;-;1518,05;1518,05;11;2,8;-;-
"110149 São Francisco do Guaporé";11;11;16512,69;13168,59;-;-;3344,10;-;-;1501,15;1501,15;54;4,9;1;9,09
"110170 Urupá";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
"110180 Vale do Paraíso";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"110030 Vilhena";30;30;228835,29;193992,19;-;-;34843,10;-;-;7627,84;7627,84;294;9,8;3;10,00
"120010 Brasiléia";3;3;4588,90;3676,87;-;-;912,03;-;-;1529,63;1529,63;16;5,3;-;-
"120020 Cruzeiro do Sul";49;49;98415,18;80792,29;-;-;17622,89;-;-;2008,47;2008,47;285;5,8;3;6,12
"120030 Feijó";2;2;3016,00;2407,98;-;-;608,02;-;-;1508,00;1508,00;2;1,0;-;-
"120040 Rio Branco";87;87;625691,10;530916,20;-;-;94774,90;-;-;7191,85;7191,85;1118;12,9;22;25,29
"120050 Sena Madureira";4;4;6024,00;4807,96;-;-;1216,04;-;-;1506,00;1506,00;26;6,5;-;-
"120060 Tarauacá";4;4;6092,05;4876,01;-;-;1216,04;-;-;1523,01;1523,01;14;3,5;-;-
"120070 Xapuri";4;4;6072,00;4855,96;-;-;1216,04;-;-;1518,00;1518,00;20;5,0;-;-
"130020 Atalaia do Norte";6;6;9193,00;7368,94;-;-;1824,06;-;-;1532,17;1532,17;38;6,3;-;-
"130030 Autazes";6;6;9016,00;7191,94;-;-;1824,06;-;-;1502,67;1502,67;28;4,7;-;-
"130060 Benjamin Constant";5;5;7516,00;5995,95;-;-;1520,05;-;-;1503,20;1503,20;17;3,4;1;20,00
"130068 Boa Vista do Ramos";32;32;48000,00;38271,68;-;-;9728,32;-;-;1500,00;1500,00;125;3,9;2;6,25
"130070 Boca do Acre";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;60;4,3;-;-
"130080 Borba";3;3;4572,00;3659,97;-;-;912,03;-;-;1524,00;1524,00;9;3,0;-;-
"130100 Carauari";19;19;29986,95;24210,76;-;-;5776,19;-;-;1578,26;1578,26;93;4,9;1;5,26
"130110 Careiro";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"130120 Coari";27;27;41223,90;33015,63;-;-;8208,27;-;-;1526,81;1526,81;110;4,1;4;14,81
"130130 Codajás";17;17;25500,00;20331,83;-;-;5168,17;-;-;1500,00;1500,00;49;2,9;-;-
"130150 Envira";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;6;2,0;-;-
"130160 Fonte Boa";13;13;19892,00;15939,87;-;-;3952,13;-;-;1530,15;1530,15;76;5,8;-;-
"130165 Guajará";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"130170 Humaitá";8;8;12463,32;10031,24;-;-;2432,08;-;-;1557,91;1557,91;34;4,3;-;-
"130180 Ipixuna";41;41;61716,00;49251,59;-;-;12464,41;-;-;1505,27;1505,27;159;3,9;-;-
"130185 Iranduba";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;160;8,0;1;5,00
"130200 Itapiranga";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;80;4,0;-;-
"130250 Manacapuru";14;14;21519,62;17255,74;-;-;4263,88;-;-;1537,12;1537,12;51;3,6;1;7,14
"130260 Manaus";875;875;3591128,48;3037515,66;-;-;553612,82;-;-;4104,15;4104,15;9156;10,5;222;25,37
"130270 Manicoré";6;6;9112,00;7287,94;-;-;1824,06;-;-;1518,67;1518,67;14;2,3;1;16,67
"130290 Maués";53;53;81177,14;64991,08;-;-;16186,06;-;-;1531,64;1531,64;324;6,1;7;13,21
"130300 Nhamundá";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;38;7,6;1;20,00
"130320 Novo Airão";5;5;7604,00;6083,95;-;-;1520,05;-;-;1520,80;1520,80;13;2,6;-;-
"130340 Parintins";175;175;271479,10;218277,35;-;-;53201,75;-;-;1551,31;1551,31;1319;7,5;15;8,57
"130356 Rio Preto da Eva";9;9;13860,00;11123,91;-;-;2736,09;-;-;1540,00;1540,00;55;6,1;-;-
"130370 Santo Antônio do Içá";17;17;25500,00;20331,83;-;-;5168,17;-;-;1500,00;1500,00;55;3,2;-;-
"130395 São Sebastião do Uatumã";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;2;1,0;-;-
"130406 Tabatinga";4;4;6452,33;5224,68;-;-;1227,65;-;-;1613,08;1613,08;29;7,3;-;-
"130410 Tapauá";14;14;21240,00;16983,86;-;-;4256,14;-;-;1517,14;1517,14;51;3,6;-;-
"130420 Tefé";20;20;30824,00;24743,80;-;-;6080,20;-;-;1541,20;1541,20;119;6,0;1;5,00
"130426 Uarini";9;9;13676,00;10939,91;-;-;2736,09;-;-;1519,56;1519,56;21;2,3;1;11,11
"130430 Urucará";11;11;16588,00;13243,89;-;-;3344,11;-;-;1508,00;1508,00;48;4,4;-;-
"140010 Boa Vista";123;123;979141,55;830758,46;-;-;148383,09;-;-;7960,50;7960,50;1348;11,0;28;22,76
"150010 Abaetetuba";26;26;40630,33;32668,02;-;-;7962,31;-;-;1562,71;1562,71;163;6,3;1;3,85
"150034 Água Azul do Norte";8;8;12032,00;9599,92;-;-;2432,08;-;-;1504,00;1504,00;23;2,9;-;-
"150040 Alenquer";5;5;7524,00;6003,95;-;-;1520,05;-;-;1504,80;1504,80;19;3,8;-;-
