 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Out/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;17;4,3;-;-
"110040 Alto Paraíso";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"110045 Buritis";13;13;20153,37;16112,24;-;-;4041,13;-;-;1550,26;1550,26;110;8,5;1;7,69
"110004 Cacoal";26;26;46403,19;37888,78;-;-;8514,41;-;-;1784,74;1784,74;136;5,2;3;11,54
"110005 Cerejeiras";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;7;3,5;-;-
"110006 Colorado do Oeste";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;34;6,8;-;-
"110094 Cujubim";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;-;-;-;-
"110009 Espigão D'Oeste";4;4;6040,00;4823,96;-;-;1216,04;-;-;1510,00;1510,00;5;1,3;-;-
"110010 Guajará-Mirim";10;10;15024,00;11983,90;-;-;3040,10;-;-;1502,40;1502,40;63;6,3;1;10,00
"110011 Jaru";21;21;129641,55;109852,54;-;-;19789,01;-;-;6173,41;6173,41;139;6,6;3;14,29
"110012 Ji-Paraná";28;28;44373,20;35589,72;-;-;8783,48;-;-;1584,76;1584,76;120;4,3;1;3,57
"110013 Machadinho D'Oeste";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;21;7,0;-;-
"110140 Monte Negro";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;8;4,0;-;-
"110033 Nova Mamoré";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;13;3,3;-;-
"110020 Porto Velho";127;127;843642,64;727159,44;-;-;116483,20;-;-;6642,86;6642,86;1189;9,4;40;31,50
"110025 Presidente Médici";3;3;4524,00;3611,97;-;-;912,03;-;-;1508,00;1508,00;22;7,3;-;-
"110028 Rolim de Moura";5;5;7508,00;5987,95;-;-;1520,05;-;-;1501,60;1501,60;12;2,4;-;-
"110149 São Francisco do Guaporé";11;11;16540,39;13196,28;-;-;3344,11;-;-;1503,67;1503,67;50;4,5;-;-
"110032 São Miguel do Guaporé";4;4;6064,00;4847,96;-;-;1216,04;-;-;1516,00;1516,00;8;2,0;-;-
"110170 Urupá";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;4;1,3;-;-
"110030 Vilhena";50;50;317975,88;269838,42;-;-;48137,46;-;-;6359,52;6359,52;423;8,5;12;24,00
"120010 Brasiléia";7;7;10658,75;8530,68;-;-;2128,07;-;-;1522,68;1522,68;27;3,9;-;-
"120020 Cruzeiro do Sul";79;79;131695,33;106996,98;-;-;24698,35;-;-;1667,03;1667,03;716;9,1;5;6,33
"120040 Rio Branco";93;93;620455,49;526670,20;-;-;93785,29;-;-;6671,56;6671,56;1027;11,0;33;35,48
"120050 Sena Madureira";9;9;13572,12;10828,29;-;-;2743,83;-;-;1508,01;1508,01;60;6,7;-;-
"120060 Tarauacá";4;4;6184,00;4967,96;-;-;1216,04;-;-;1546,00;1546,00;23;5,8;-;-
"120070 Xapuri";8;8;12168,00;9735,92;-;-;2432,08;-;-;1521,00;1521,00;33;4,1;1;12,50
"130002 Alvarães";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;43;4,3;1;10,00
"130020 Atalaia do Norte";5;5;7540,00;6019,95;-;-;1520,05;-;-;1508,00;1508,00;19;3,8;-;-
"130030 Autazes";6;6;9048,00;7223,94;-;-;1824,06;-;-;1508,00;1508,00;31;5,2;-;-
"130060 Benjamin Constant";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;28;4,7;-;-
"130068 Boa Vista do Ramos";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;17;3,4;-;-
"130070 Boca do Acre";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;50;4,5;-;-
"130080 Borba";1;1;1532,00;1227,99;-;-;304,01;-;-;1532,00;1532,00;4;4,0;-;-
