 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Set/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";28;28;42000,00;33487,72;-;-;8512,28;-;-;1500,00;1500,00;96;3,4;-;-
"110037 Alto Alegre dos Parecis";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;7;1,8;2;50,00
"110040 Alto Paraíso";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;8;4,0;-;-
"110045 Buritis";17;17;25516,00;20347,83;-;-;5168,17;-;-;1500,94;1500,94;59;3,5;-;-
"110004 Cacoal";34;34;74493,48;61843,15;-;-;12650,33;-;-;2190,98;2190,98;261;7,7;4;11,76
"110005 Cerejeiras";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;10;3,3;-;-
"110006 Colorado do Oeste";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;33;5,5;1;16,67
"110010 Guajará-Mirim";9;9;13548,00;10811,91;-;-;2736,09;-;-;1505,33;1505,33;48;5,3;-;-
"110011 Jaru";28;28;138336,75;116646,87;-;-;21689,88;-;-;4940,60;4940,60;139;5,0;1;3,57
"110012 Ji-Paraná";47;47;71062,95;56774,48;-;-;14288,47;-;-;1511,98;1511,98;174;3,7;3;6,38
"110013 Machadinho D'Oeste";10;10;15037,95;11997,85;-;-;3040,10;-;-;1503,80;1503,80;48;4,8;1;10,00
"110130 Mirante da Serra";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;10;5,0;-;-
"110140 Monte Negro";9;9;13596,00;10859,91;-;-;2736,09;-;-;1510,67;1510,67;26;2,9;1;11,11
"110014 Nova Brasilândia D'Oeste";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;31;3,4;-;-
"110033 Nova Mamoré";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;25;3,6;-;-
"110018 Pimenta Bueno";13;13;22551,02;18598,90;-;-;3952,12;-;-;1734,69;1734,69;51;3,9;1;7,69
"110146 Pimenteiras do Oeste";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;6;2,0;-;-
"110020 Porto Velho";296;296;1750193,23;1501426,71;-;-;248766,52;-;-;5912,81;5912,81;2457;8,3;93;31,42
"110025 Presidente Médici";2;2;3008,00;2399,98;-;-;608,02;-;-;1504,00;1504,00;7;3,5;-;-
"110028 Rolim de Moura";20;20;30032,00;23951,80;-;-;6080,20;-;-;1501,60;1501,60;67;3,4;1;5,00
"110029 Santa Luzia D'Oeste";2;2;3008,00;2399,98;-;-;608,02;-;-;1504,00;1504,00;10;5,0;-;-
"110149 São Francisco do Guaporé";10;10;15040,00;11999,90;-;-;3040,10;-;-;1504,00;1504,00;39;3,9;1;10,00
"110032 São Miguel do Guaporé";11;11;16724,00;13379,89;-;-;3344,11;-;-;1520,36;1520,36;33;3,0;1;9,09
"110030 Vilhena";81;81;289961,43;244661,42;-;-;45300,01;-;-;3579,77;3579,77;574;7,1;21;25,93
"120001 Acrelândia";7;7;10580,00;8451,93;-;-;2128,07;-;-;1511,43;1511,43;28;4,0;-;-
"120010 Brasiléia";9;9;13747,65;11011,56;-;-;2736,09;-;-;1527,52;1527,52;38;4,2;1;11,11
"120020 Cruzeiro do Sul";72;72;309318,87;260847,80;-;-;48471,07;-;-;4296,10;4296,10;782;10,9;18;25,00
"120034 Manoel Urbano";1;1;1548,00;1243,99;-;-;304,01;-;-;1548,00;1548,00;6;6,0;-;-
"120040 Rio Branco";66;66;538205,51;458905,81;-;-;79299,70;-;-;8154,63;8154,63;749;11,3;29;43,94
"120050 Sena Madureira";14;14;21001,00;16744,86;-;-;4256,14;-;-;1500,07;1500,07;72;5,1;-;-
"120060 Tarauacá";4;4;6216,00;4999,96;-;-;1216,04;-;-;1554,00;1554,00;27;6,8;-;-
"120070 Xapuri";2;2;3120,00;2511,98;-;-;608,02;-;-;1560,00;1560,00;17;8,5;1;50,00
"130002 Alvarães";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;24;6,0;1;25,00
