 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"110001 Alta Floresta D'Oeste";94;141000,00;337;1
"110037 Alto Alegre dos Parecis";12;18000,00;34;2
"110040 Alto Paraíso";23;34556,00;56;-
"110002 Ariquemes";188;1291230,09;1256;17
"110045 Buritis";66;99771,71;376;1
"110003 Cabixi";6;9000,00;29;2
"110004 Cacoal";133;394999,58;959;19
"110070 Campo Novo de Rondônia";5;7500,00;14;-
"110005 Cerejeiras";10;15016,00;36;-
"110006 Colorado do Oeste";31;46500,00;151;1
"110094 Cujubim";17;25500,00;-;-
"110009 Espigão D'Oeste";18;27312,00;39;1
"110010 Guajará-Mirim";191;287884,80;1157;18
"110011 Jaru";230;806093,04;1209;15
"110012 Ji-Paraná";264;404329,99;1003;13
"110013 Machadinho D'Oeste";27;40577,95;110;1
"110130 Mirante da Serra";6;9000,00;31;-
"110140 Monte Negro";20;30104,00;72;1
"110014 Nova Brasilândia D'Oeste";24;36000,00;103;-
"110033 Nova Mamoré";59;88504,67;215;3
"110143 Nova União";3;4500,00;6;-
"110018 Pimenta Bueno";45;72070,70;146;4
"110146 Pimenteiras do Oeste";13;19620,00;43;-
"110020 Porto Velho";2538;12588745,95;17541;527
"110025 Presidente Médici";15;22572,00;93;1
"110028 Rolim de Moura";66;99328,20;227;2
"110029 Santa Luzia D'Oeste";9;13516,00;44;-
"110149 São Francisco do Guaporé";45;67705,08;204;2
"110032 São Miguel do Guaporé";26;39456,00;70;3
"110170 Urupá";5;7500,00;9;-
"110180 Vale do Paraíso";13;19500,00;61;-
"110030 Vilhena";348;1519638,94;2414;72
"120001 Acrelândia";12;18080,00;40;-
"120010 Brasiléia";121;184887,85;501;11
"120020 Cruzeiro do Sul";546;1557731,16;4777;91
"120030 Feijó";3;4524,00;3;-
"120034 Manoel Urbano";1;1548,00;6;-
"120038 Plácido de Castro";1;1500,00;4;-
"120040 Rio Branco";720;3888913,74;8097;238
"120050 Sena Madureira";105;158260,28;641;1
"120045 Senador Guiomard";4;6000,00;24;-
"120060 Tarauacá";24;36885,83;112;-
"120070 Xapuri";29;44172,00;132;4
"130002 Alvarães";76;114361,08;446;10
"130006 Amaturá";20;30598,95;82;5
"130014 Apuí";15;22500,00;93;-
"130020 Atalaia do Norte";30;45690,00;156;1
"130030 Autazes";51;76836,00;220;1
"130040 Barcelos";22;33000,00;111;3
"130060 Benjamin Constant";70;105032,00;296;11
"130068 Boa Vista do Ramos";96;144045,95;447;4
"130070 Boca do Acre";89;133500,00;471;11
"130080 Borba";108;165416,00;445;11
"130100 Carauari";66;107485,27;381;11
"130110 Careiro";73;109956,00;252;1
"130120 Coari";304;468425,73;1184;98
"130130 Codajás";66;99000,00;233;1
"130140 Eirunepé";24;36008,00;72;-
"130150 Envira";18;27000,00;67;-
"130160 Fonte Boa";87;133380,00;573;15
"130165 Guajará";77;115625,00;358;-
"130170 Humaitá";238;375284,96;1192;23
"130180 Ipixuna";121;182068,00;429;-
"130185 Iranduba";36;54000,00;259;1
"130190 Itacoatiara";425;649765,92;1920;29
"130200 Itapiranga";25;37500,00;93;-
"130210 Japurá";11;16580,00;79;-
"130220 Juruá";6;9096,00;42;-
"130230 Jutaí";10;15000,00;44;1
"130250 Manacapuru";310;485008,88;1500;52
"130260 Manaus";7202;30744672,64;71923;2292
"130270 Manicoré";136;209429,86;634;14
"130290 Maués";198;299805,14;1159;28
"130300 Nhamundá";56;84304,12;264;4
"130320 Novo Airão";42;63952,00;155;2
"130340 Parintins";1090;1674276,38;7162;91
"130350 Pauini";14;21000,00;95;-
"130353 Presidente Figueiredo";82;126015,99;401;5
"130356 Rio Preto da Eva";77;117172,00;347;-
"130370 Santo Antônio do Içá";108;162000,00;446;2
"130380 São Gabriel da Cachoeira";1;1500,00;5;-
"130390 São Paulo de Olivença";62;93216,00;277;12
"130395 São Sebastião do Uatumã";31;46500,00;99;2
"130406 Tabatinga";153;244027,92;1085;50
"130410 Tapauá";27;40764,00;91;-
"130420 Tefé";290;441168,00;1596;53
"130423 Tonantins";65;97500,00;302;18
"130426 Uarini";73;111172,20;200;5
"130430 Urucará";95;143251,00;363;2
"140005 Alto Alegre";8;12040,12;34;-
"140010 Boa Vista";1554;5935809,58;15442;420
"140020 Caracaraí";1;1556,00;7;-
"140023 Caroebe";9;13684,00;29;-
"140030 Mucajaí";10;15000,00;40;-
"140040 Normandia";14;21000,00;49;1
"140045 Pacaraima";13;20345,72;87;3
"140047 Rorainópolis";72;116164,30;669;3
"140050 São João da Baliza";4;6088,00;15;-
"140060 São Luiz";14;21140,42;77;-
"150010 Abaetetuba";189;294472,09;1137;28
"150013 Abel Figueiredo";1;1500,00;1;-
"150020 Acará";25;38004,00;66;1
"150034 Água Azul do Norte";43;64948,78;130;-
"150040 Alenquer";95;145678,70;494;19
"150050 Almeirim";45;67580,00;173;7
"150060 Altamira";670;2684160,10;4744;181
"150080 Ananindeua";697;3037404,16;4201;127
"150085 Anapu";12;18480,00;60;-
"150090 Augusto Corrêa";253;381060,00;1951;13
"150095 Aurora do Pará";69;103852,00;305;3
"150120 Baião";28;42760,00;115;-
"150125 Bannach";3;4500,00;10;-
"150130 Barcarena";204;334514,98;1009;21
"150140 Belém";4280;19101137,11;44603;1332
"150157 Bom Jesus do Tocantins";83;124500,00;243;-
"150170 Bragança";644;3314932,64;4529;111
"150172 Brasil Novo";82;123000,00;344;3
"150178 Breu Branco";29;43691,80;158;-
"150180 Breves";576;1024804,58;3555;89
"150190 Bujaru";48;73408,00;171;7
"150215 Canaã dos Carajás";117;175537,95;869;9
"150220 Capanema";25;52984,57;188;1
"150230 Capitão Poço";122;183408,00;604;-
"150240 Castanhal";1013;2273768,75;6587;188
"150270 Conceição do Araguaia";94;143000,00;249;-
"150276 Cumaru do Norte";7;10500,00;47;-
"150277 Curionópolis";93;139500,00;183;3
"150280 Curralinho";105;160271,00;339;5
"150293 Dom Eliseu";83;126100,00;222;7
"150295 Eldorado do Carajás";9;13708,00;42;-
"150307 Garrafão do Norte";48;73816,00;240;3
"150320 Igarapé-Açu";169;257346,34;1064;23
"150330 Igarapé-Miri";62;95808,00;368;6
"150340 Inhangapi";2;3000,00;21;-
"150345 Ipixuna do Pará";214;326100,00;896;4
"150360 Itaituba";349;539296,12;1900;113
"150370 Itupiranga";111;166502,00;261;-
"150380 Jacundá";152;228000,00;574;1
"150390 Juruti";182;275418,55;978;42
"150400 Limoeiro do Ajuru";79;119132,00;318;-
"150405 Mãe do Rio";153;231650,95;595;8
"150420 Marabá";915;2720209,57;8507;216
"150430 Maracanã";30;45112,00;162;4
"150442 Marituba";44;172217,59;510;12
"150460 Mocajuba";86;132416,00;450;-
"150470 Moju";66;102274,01;390;9
"150480 Monte Alegre";116;178098,51;640;17
"150490 Muaná";24;36808,12;99;4
"150495 Nova Esperança do Piriá";85;127500,00;406;2
"150497 Nova Ipixuna";15;22500,00;34;-
"150503 Novo Progresso";75;112837,85;225;6
"150520 Oeiras do Pará";127;190759,20;588;11
"150530 Oriximiná";171;263495,22;1095;38
"150540 Ourém";50;76336,00;168;5
"150543 Ourilândia do Norte";97;145500,00;340;2
"150548 Pacajá";66;100912,00;251;-
"150549 Palestina do Pará";15;22500,00;29;1
"150550 Paragominas";336;776517,88;2579;36
"150553 Parauapebas";327;1054278,89;3228;119
"150555 Pau D'Arco";26;39000,00;85;-
"150570 Ponta de Pedras";5;7500,00;19;-
"150580 Portel";77;115500,00;268;4
"150600 Prainha";91;136524,00;388;7
"150613 Redenção";398;709959,86;2400;111
"150616 Rio Maria";95;143076,00;721;5
"150618 Rondon do Pará";85;127500,00;295;2
"150619 Rurópolis";28;42000,00;135;-
"150620 Salinópolis";148;222000,00;618;19
"150650 Santa Izabel do Pará";79;118500,00;674;16
"150658 Santa Maria das Barreiras";10;15000,00;21;-
"150660 Santa Maria do Pará";61;93636,00;267;4
"150670 Santana do Araguaia";111;166638,05;512;-
"150680 Santarém";1396;6333914,68;13270;459
"150700 Santo Antônio do Tauá";86;129440,00;381;-
"150715 São Domingos do Araguaia";30;45388,00;97;-
"150720 São Domingos do Capim";49;73524,00;449;-
"150730 São Félix do Xingu";156;234352,00;597;10
"150745 São Geraldo do Araguaia";4;6056,00;11;-
"150747 São João de Pirabas";87;132028,00;340;7
"150750 São João do Araguaia";7;10500,00;40;-
"150760 São Miguel do Guamá";163;246861,95;882;11
"150770 São Sebastião da Boa Vista";27;40500,00;145;-
"150780 Senador José Porfírio";53;79556,00;233;2
"150797 Terra Santa";100;153424,00;527;1
"150803 Tracuateua";28;42600,00;102;-
"150805 Trairão";46;69000,00;173;3
"150808 Tucumã";312;478059,05;1302;10
"150810 Tucuruí";121;184952,28;606;1
"150812 Ulianópolis";27;40996,00;85;3
"150815 Uruará";112;168053,95;472;5
"150820 Vigia";103;155532,00;432;9
"150830 Viseu";130;195464,00;661;6
"150835 Vitória do Xingu";132;203080,00;656;3
"150840 Xinguara";216;353016,36;881;3
"160010 Amapá";8;12104,00;28;-
"160020 Calçoene";8;12000,00;27;-
"160027 Laranjal do Jari";258;389464,46;1199;60
"160030 Macapá";1583;3619547,64;12637;371
"160050 Oiapoque";168;252000,00;584;4
"160015 Pedra Branca do Amapari";4;6000,00;9;-
"160060 Santana";389;607052,78;2849;162
"170070 Alvorada";3;4500,00;4;1
"170200 Araguaçu";2;3000,00;19;-
"170210 Araguaína";669;4469248,18;5099;187
"170230 Arapoema";5;7500,00;2;-
"170255 Augustinópolis";8;12104,00;39;1
"170550 Colinas do Tocantins";219;339477,19;621;13
"170700 Dianópolis";1;1500,00;2;-
"170820 Formoso do Araguaia";21;31500,00;77;-
"170900 Goiatins";26;39000,00;176;-
"170930 Guaraí";11;16602,74;35;3
"170950 Gurupi";34;55830,35;219;11
"171190 Lagoa da Confusão";18;27000,00;56;-
"171320 Miracema do Tocantins";46;70180,06;197;4
"172100 Palmas";95;413046,82;538;35
"171610 Paraíso do Tocantins";23;35290,46;98;1
"171620 Paranã";2;3000,00;6;-
"171660 Peixe";8;12000,00;21;-
"171750 Pium";8;12000,00;26;-
"171790 Ponte Alta do Tocantins";2;3000,00;5;-
"171820 Porto Nacional";5;7584,67;23;-
"172090 Taguatinga";1;1500,00;1;-
"172120 Tocantinópolis";94;142592,20;209;-
"172210 Xambioá";26;39464,00;98;-
"210005 Açailândia";794;1938567,25;4442;113
"210043 Alto Alegre do Maranhão";1;1508,00;2;-
"210047 Alto Alegre do Pindaré";74;113096,00;290;1
"210060 Amarante do Maranhão";121;184988,00;449;6
"210080 Anapurus";42;63928,00;123;-
"210090 Araioses";16;24472,00;66;-
"210095 Arame";70;105144,00;167;-
"210120 Bacabal";680;1180732,33;3776;142
"210130 Bacuri";19;29060,00;73;-
"210140 Balsas";421;1379794,54;3282;86
"210160 Barra do Corda";140;739785,56;640;14
"210170 Barreirinhas";67;120132,65;486;9
"210177 Bela Vista do Maranhão";35;52500,00;101;1
"210193 Bernardo do Mearim";22;33000,00;81;-
"210200 Bom Jardim";90;135000,00;285;-
