 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: todos, exceto Covid
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"110001 Alta Floresta D'Oeste";760;230879,78;1929;14
"110037 Alto Alegre dos Parecis";182;58832,76;507;2
"110040 Alto Paraíso";218;65530,59;462;1
"110034 Alvorada D'Oeste";135;35682,35;450;-
"110002 Ariquemes";2110;2182458,09;5973;102
"110045 Buritis";644;255048,23;1655;19
"110003 Cabixi";152;45153,66;425;5
"110060 Cacaulândia";4;949,39;11;-
"110004 Cacoal";6471;5627643,35;34946;405
"110070 Campo Novo de Rondônia";25;11321,84;73;1
"110005 Cerejeiras";445;174932,79;1441;5
"110006 Colorado do Oeste";200;102240,02;775;9
"110008 Costa Marques";45;13469,68;112;-
"110094 Cujubim";138;32150,03;-;-
"110009 Espigão D'Oeste";844;286226,15;1900;24
"110010 Guajará-Mirim";1683;729090,91;4757;6
"110011 Jaru";1464;611235,94;3127;31
"110012 Ji-Paraná";3630;2297000,60;12161;132
"110013 Machadinho D'Oeste";733;345492,41;1753;17
"110120 Ministro Andreazza";62;19291,05;155;-
"110130 Mirante da Serra";77;32170,97;293;2
"110140 Monte Negro";130;48817,56;454;2
"110014 Nova Brasilândia D'Oeste";132;41342,50;426;10
"110033 Nova Mamoré";279;89102,99;1076;4
"110143 Nova União";28;8883,14;61;-
"110050 Novo Horizonte do Oeste";144;34183,13;346;3
"110015 Ouro Preto do Oeste";353;162235,09;1025;7
"110145 Parecis";118;5275,91;118;-
"110018 Pimenta Bueno";1218;416543,86;2276;32
"110146 Pimenteiras do Oeste";8;2557,83;14;-
"110020 Porto Velho";29736;42121595,24;187602;1186
"110025 Presidente Médici";374;165866,94;1098;23
"110026 Rio Crespo";35;1591,90;57;1
"110028 Rolim de Moura";2230;813529,98;4689;19
"110029 Santa Luzia D'Oeste";217;68191,69;766;6
"110149 São Francisco do Guaporé";694;322978,88;1624;15
"110032 São Miguel do Guaporé";725;330244,62;1236;11
"110150 Seringueiras";256;77293,75;570;4
"110155 Teixeirópolis";37;14465,10;108;2
"110160 Theobroma";28;9701,61;63;-
"110170 Urupá";74;23119,71;167;2
"110180 Vale do Paraíso";45;16375,22;99;-
"110030 Vilhena";6507;3830178,13;22678;221
"120001 Acrelândia";35;12000,87;112;-
"120005 Assis Brasil";199;60235,11;548;2
"120010 Brasiléia";1520;562801,84;4043;18
"120020 Cruzeiro do Sul";5337;2811089,57;18469;105
"120030 Feijó";157;62157,59;556;1
"120033 Mâncio Lima";70;23792,65;265;-
"120034 Manoel Urbano";158;43150,44;355;3
"120035 Marechal Thaumaturgo";291;56984,86;471;1
"120038 Plácido de Castro";148;38622,58;355;2
"120039 Porto Walter";1;47,27;2;-
"120040 Rio Branco";18603;19215741,57;99122;892
"120042 Rodrigues Alves";173;57959,28;403;2
"120043 Santa Rosa do Purus";10;2858,63;12;-
"120050 Sena Madureira";1266;441161,11;3649;15
"120045 Senador Guiomard";186;65527,90;711;8
"120060 Tarauacá";1415;539680,74;2793;18
"120070 Xapuri";291;96041,95;988;5
"130002 Alvarães";445;171908,54;1441;4
"130006 Amaturá";265;109571,08;799;3
"130010 Anori";319;112177,82;1018;2
"130014 Apuí";614;244690,38;2236;8
"130020 Atalaia do Norte";166;59961,44;416;2
"130030 Autazes";602;297630,93;1122;-
"130040 Barcelos";92;30261,72;264;1
"130060 Benjamin Constant";1031;459137,97;3397;17
"130063 Beruri";71;27024,40;180;1
"130068 Boa Vista do Ramos";488;173975,98;1347;9
"130070 Boca do Acre";825;340328,06;2293;11
"130080 Borba";1363;596757,62;3738;9
"130083 Caapiranga";638;187158,25;1614;-
"130090 Canutama";278;107686,61;801;4
"130100 Carauari";980;632938,93;2541;11
"130110 Careiro";536;250098,49;929;2
"130120 Coari";2726;1357924,98;7944;55
"130130 Codajás";591;254122,50;1824;8
"130140 Eirunepé";183;81688,64;428;4
"130150 Envira";401;179220,83;1140;3
"130160 Fonte Boa";770;320949,59;2482;6
"130165 Guajará";134;46705,48;501;1
"130170 Humaitá";1209;563622,02;3005;1
"130180 Ipixuna";321;117672,69;612;-
"130185 Iranduba";170;67990,30;356;-
"130190 Itacoatiara";2202;1189500,92;6490;42
"130200 Itapiranga";151;68666,27;350;4
"130210 Japurá";128;41719,27;303;-
"130220 Juruá";119;50545,69;307;1
"130230 Jutaí";308;134030,29;473;-
"130240 Lábrea";649;278320,10;1765;-
"130250 Manacapuru";2903;1538212,44;6676;19
"130255 Manaquiri";272;103825,19;1137;-
"130260 Manaus";66917;90214827,61;426961;3787
"130270 Manicoré";990;506707,94;2632;22
"130290 Maués";1709;869227,16;4185;27
"130300 Nhamundá";272;122645,92;636;4
