 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município e Ano/mês processamento
Procedimentos:todos
Período:Abr-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110001 Alta Floresta D'Oeste";101;87;64;85;71;80;115;80;77;760
"110037 Alto Alegre dos Parecis";25;15;23;19;17;23;29;31;-;182
"110040 Alto Paraíso";21;18;25;21;22;27;33;22;29;218
"110034 Alvorada D'Oeste";9;26;22;24;20;34;-;-;-;135
"110002 Ariquemes";387;408;399;424;412;13;25;22;20;2110
"110045 Buritis";100;66;41;90;66;68;79;92;42;644
"110003 Cabixi";26;26;24;13;11;11;15;10;16;152
"110060 Cacaulândia";1;3;-;-;-;-;-;-;-;4
"110004 Cacoal";795;840;778;759;725;592;708;578;696;6471
"110070 Campo Novo de Rondônia";3;1;-;5;5;7;4;-;-;25
"110005 Cerejeiras";66;62;46;46;47;41;42;56;39;445
"110006 Colorado do Oeste";28;29;17;15;19;23;25;20;24;200
"110008 Costa Marques";23;13;9;-;-;-;-;-;-;45
"110094 Cujubim";3;2;9;13;20;13;24;54;-;138
"110009 Espigão D'Oeste";125;77;72;74;111;92;113;100;80;844
"110010 Guajará-Mirim";193;216;191;208;205;195;262;213;-;1683
"110011 Jaru";172;166;148;155;187;203;233;200;-;1464
"110012 Ji-Paraná";483;393;422;470;396;463;519;473;11;3630
"110013 Machadinho D'Oeste";82;93;80;68;68;123;85;134;-;733
"110120 Ministro Andreazza";1;6;8;5;8;8;14;12;-;62
"110130 Mirante da Serra";14;10;10;15;10;18;-;-;-;77
"110140 Monte Negro";10;4;12;14;25;28;17;20;-;130
"110014 Nova Brasilândia D'Oeste";21;27;20;22;23;19;-;-;-;132
"110033 Nova Mamoré";29;27;25;34;38;41;38;47;-;279
"110143 Nova União";7;6;1;-;2;3;3;5;1;28
"110050 Novo Horizonte do Oeste";21;22;8;21;14;22;36;-;-;144
"110015 Ouro Preto do Oeste";171;185;-;-;-;-;-;-;-;356
"110145 Parecis";7;5;12;13;12;23;25;21;-;118
"110018 Pimenta Bueno";150;118;111;139;166;170;183;181;-;1218
"110146 Pimenteiras do Oeste";3;1;-;2;-;2;-;-;-;8
"110020 Porto Velho";3020;2925;2429;3514;3517;4226;2924;3970;3253;29778
"110025 Presidente Médici";46;34;34;34;40;34;48;51;53;374
"110026 Rio Crespo";6;6;6;5;2;4;3;3;-;35
"110028 Rolim de Moura";231;242;204;263;286;269;230;271;234;2230
"110029 Santa Luzia D'Oeste";37;24;16;32;27;30;21;30;-;217
"110149 São Francisco do Guaporé";164;140;74;91;46;78;45;45;11;694
"110032 São Miguel do Guaporé";88;93;60;77;99;87;113;108;-;725
"110150 Seringueiras";21;13;32;21;44;35;39;51;-;256
"110155 Teixeirópolis";2;-;10;1;3;7;4;9;1;37
"110160 Theobroma";9;5;5;9;-;-;-;-;-;28
"110170 Urupá";8;8;5;14;7;11;7;14;-;74
"110180 Vale do Paraíso";1;10;1;2;5;4;9;9;4;45
"110030 Vilhena";916;745;633;572;658;660;803;805;715;6507
"120001 Acrelândia";5;2;4;-;15;4;5;-;-;35
"120005 Assis Brasil";16;24;22;13;-;47;24;19;34;199
"120010 Brasiléia";171;169;99;227;183;161;209;143;158;1520
"120020 Cruzeiro do Sul";638;585;532;411;719;720;690;649;393;5337
"120030 Feijó";-;-;-;1;-;1;97;32;26;157
"120033 Mâncio Lima";4;2;-;21;-;14;-;-;31;72
"120034 Manoel Urbano";18;1;-;22;23;24;19;21;30;158
"120035 Marechal Thaumaturgo";48;41;27;30;37;26;30;52;-;291
"120038 Plácido de Castro";26;13;4;18;17;13;20;11;26;148
"120039 Porto Walter";-;1;-;-;-;-;-;-;-;1
"120040 Rio Branco";1666;1914;1885;2119;2134;1864;2497;2143;2413;18635
"120042 Rodrigues Alves";26;35;15;21;5;24;8;39;-;173
"120043 Santa Rosa do Purus";-;-;-;-;10;-;-;-;-;10
"120050 Sena Madureira";167;110;121;105;141;158;179;175;110;1266
"120045 Senador Guiomard";-;11;76;22;12;21;13;11;20;186
"120060 Tarauacá";126;149;140;148;188;166;184;131;183;1415
"120070 Xapuri";30;20;22;25;28;36;50;33;47;291
"130002 Alvarães";58;57;45;53;59;103;70;-;-;445
"130006 Amaturá";29;28;23;45;44;21;31;21;23;265
"130010 Anori";38;64;51;-;104;62;-;-;-;319
"130014 Apuí";90;75;69;59;69;75;102;75;-;614
"130020 Atalaia do Norte";17;28;27;28;22;-;24;20;-;166
"130030 Autazes";81;68;62;65;62;75;61;76;52;602
"130040 Barcelos";53;-;-;39;-;-;-;-;-;92
"130060 Benjamin Constant";142;118;166;136;106;122;132;109;-;1031
"130063 Beruri";33;38;-;-;-;-;-;-;-;71
"130068 Boa Vista do Ramos";45;64;42;67;57;77;40;46;50;488
"130070 Boca do Acre";103;91;81;86;103;116;120;125;-;825
"130080 Borba";117;67;122;157;81;288;193;192;146;1363
"130083 Caapiranga";56;45;72;68;82;59;80;94;82;638
"130090 Canutama";28;37;36;38;38;37;37;27;-;278
"130100 Carauari";120;98;70;64;86;99;181;154;108;980
"130110 Careiro";32;28;62;62;38;64;85;90;75;536
"130120 Coari";208;309;280;361;321;274;259;389;325;2726
"130130 Codajás";77;108;59;70;54;62;78;83;-;591
"130140 Eirunepé";-;111;-;-;72;-;-;-;-;183
"130150 Envira";50;59;19;74;43;63;52;41;-;401
"130160 Fonte Boa";83;64;71;106;104;121;110;111;-;770
"130165 Guajará";19;4;5;7;14;16;32;37;-;134
"130170 Humaitá";108;110;153;108;146;137;151;156;140;1209
"130180 Ipixuna";73;-;151;-;-;36;31;30;-;321
"130185 Iranduba";75;29;28;6;14;7;4;7;-;170
"130190 Itacoatiara";232;287;259;318;397;345;364;-;-;2202
"130200 Itapiranga";35;13;9;11;40;-;35;8;-;151
"130210 Japurá";-;-;59;-;34;35;-;-;-;128
"130220 Juruá";-;53;-;-;-;66;-;-;-;119
"130230 Jutaí";-;-;-;115;48;64;79;2;-;308
"130240 Lábrea";120;112;100;115;93;109;-;-;-;649
"130250 Manacapuru";246;246;271;415;412;372;441;500;-;2903
"130255 Manaquiri";46;43;43;41;38;61;-;-;-;272
"130260 Manaus";8324;8204;7882;8614;8280;8489;8443;8471;210;66917
"130270 Manicoré";173;132;123;117;96;102;128;119;-;990
"130290 Maués";220;184;123;184;248;257;277;216;-;1709
"130300 Nhamundá";1;-;30;2;97;64;65;13;-;272
"130310 Nova Olinda do Norte";129;87;-;-;-;-;-;-;-;216
"130320 Novo Airão";28;57;45;55;49;58;77;50;60;479
"130330 Novo Aripuanã";48;-;100;-;-;-;-;-;-;148
"130340 Parintins";473;310;300;339;385;466;416;378;376;3443
"130350 Pauini";-;-;89;-;-;-;59;-;-;148
"130353 Presidente Figueiredo";28;19;38;45;71;78;-;-;-;279
"130356 Rio Preto da Eva";14;19;14;20;14;23;14;17;14;149
"130360 Santa Isabel do Rio Negro";86;-;-;-;31;62;47;-;-;226
"130370 Santo Antônio do Içá";117;116;39;81;75;71;-;42;-;541
"130380 São Gabriel da Cachoeira";32;22;123;151;56;89;-;-;-;473
"130390 São Paulo de Olivença";46;83;54;90;94;83;88;-;-;538
"130395 São Sebastião do Uatumã";13;44;-;28;22;33;19;20;-;179
"130406 Tabatinga";155;251;39;34;46;206;335;116;-;1182
"130410 Tapauá";-;-;-;-;-;105;108;56;-;269
"130420 Tefé";393;303;204;323;317;403;317;351;-;2611
"130423 Tonantins";48;43;47;37;73;40;75;58;59;480
"130426 Uarini";79;70;47;48;40;76;73;107;-;540
"130430 Urucará";11;18;13;25;36;31;-;23;-;157
"140005 Alto Alegre";14;7;16;16;14;12;24;22;17;142
"140010 Boa Vista";2884;2344;2090;2332;2818;2654;3109;3021;3037;24289
"140015 Bonfim";9;1;4;4;4;2;7;9;10;50
"140020 Caracaraí";9;10;8;17;14;11;8;13;12;102
"140023 Caroebe";10;5;17;23;21;15;28;21;15;155
"140030 Mucajaí";15;11;11;14;18;18;10;10;8;115
"140040 Normandia";4;82;29;26;24;29;17;24;20;255
"140045 Pacaraima";22;17;15;21;16;31;20;22;34;198
"140047 Rorainópolis";139;162;149;141;150;140;156;155;132;1324
"140050 São João da Baliza";16;20;7;20;12;28;7;13;15;138
"140060 São Luiz";8;5;3;2;14;9;6;2;15;64
"150010 Abaetetuba";411;420;352;470;371;292;525;699;736;4276
"150013 Abel Figueiredo";8;7;10;12;20;19;23;26;-;125
"150020 Acará";44;39;108;89;91;104;92;78;-;645
"150030 Afuá";83;90;52;-;146;76;89;77;74;687
"150034 Água Azul do Norte";68;64;47;63;64;73;88;106;75;648
"150040 Alenquer";364;339;258;262;263;287;269;351;364;2757
"150050 Almeirim";74;63;108;79;71;92;77;-;-;564
"150060 Altamira";797;692;571;603;788;777;959;829;854;6870
"150070 Anajás";95;90;98;118;87;91;102;121;108;910
"150080 Ananindeua";2521;2197;2650;2724;2732;2690;2631;3080;2811;24036
"150085 Anapu";190;202;78;94;90;103;103;125;-;985
"150090 Augusto Corrêa";215;84;126;193;256;243;305;311;250;1983
"150095 Aurora do Pará";60;66;74;64;98;73;84;89;-;608
"150120 Baião";94;59;82;79;86;67;115;94;9;685
"150125 Bannach";11;13;8;8;13;17;10;11;-;91
"150130 Barcarena";435;402;352;539;610;584;539;503;536;4500
"150140 Belém";5680;5369;6655;6314;8572;8312;8847;9375;8663;67787
"150145 Belterra";37;32;46;45;26;-;-;-;-;186
"150157 Bom Jesus do Tocantins";73;72;72;67;88;51;65;79;-;567
"150170 Bragança";613;498;612;804;865;842;908;909;822;6873
"150172 Brasil Novo";145;115;96;95;124;125;90;95;-;885
"150175 Brejo Grande do Araguaia";59;60;57;58;57;59;59;-;-;409
"150178 Breu Branco";40;71;65;115;73;48;60;63;72;607
"150180 Breves";679;438;493;618;653;671;271;214;254;4291
"150190 Bujaru";165;142;117;76;161;159;153;192;203;1368
"150200 Cachoeira do Arari";56;63;58;63;61;54;70;109;90;624
"150210 Cametá";455;-;-;-;-;-;-;-;-;455
"150215 Canaã dos Carajás";150;187;149;178;164;131;165;124;-;1248
"150220 Capanema";285;346;268;285;328;419;423;322;88;2764
"150230 Capitão Poço";239;72;46;108;155;129;171;159;-;1079
"150240 Castanhal";1543;1581;793;1320;1673;1690;1509;1772;1618;13499
"150250 Chaves";6;-;-;46;39;-;-;-;-;91
"150270 Conceição do Araguaia";334;397;314;379;317;327;316;330;337;3051
"150275 Concórdia do Pará";83;64;50;68;51;60;57;58;-;491
"150276 Cumaru do Norte";38;36;33;35;31;30;35;33;37;308
"150277 Curionópolis";110;77;92;102;102;108;96;107;-;794
"150280 Curralinho";89;81;96;88;112;104;104;-;-;674
"150293 Dom Eliseu";175;112;97;122;173;209;247;179;-;1314
"150295 Eldorado do Carajás";62;45;55;70;55;60;70;78;-;495
"150300 Faro";38;35;38;38;37;34;-;-;37;257
"150304 Floresta do Araguaia";107;110;108;108;-;-;-;-;-;433
"150307 Garrafão do Norte";44;30;41;30;56;43;46;35;-;325
"150309 Goianésia do Pará";104;103;84;124;85;52;59;-;-;611
"150310 Gurupá";98;123;146;107;125;-;-;-;-;599
"150320 Igarapé-Açu";37;38;27;42;64;7;58;58;32;363
"150330 Igarapé-Miri";521;466;505;505;574;594;640;389;397;4591
"150340 Inhangapi";3;-;1;2;4;-;-;-;-;10
"150345 Ipixuna do Pará";189;183;125;151;187;168;225;188;49;1465
"150360 Itaituba";329;271;294;372;312;318;328;-;-;2224
"150370 Itupiranga";89;90;87;69;122;80;50;73;-;660
"150375 Jacareacanga";-;39;16;-;36;38;66;59;-;254
"150380 Jacundá";115;93;99;106;141;146;158;192;-;1050
"150390 Juruti";100;128;134;125;142;166;167;149;149;1260
"150400 Limoeiro do Ajuru";100;90;35;68;69;113;128;85;-;688
"150405 Mãe do Rio";141;158;66;93;104;112;137;105;-;916
"150420 Marabá";1006;942;1036;1282;1511;1190;929;1241;1483;10620
"150430 Maracanã";22;16;32;33;53;41;48;31;37;313
"150440 Marapanim";39;58;32;19;22;23;23;18;-;234
"150442 Marituba";379;280;370;438;467;477;521;415;425;3772
"150445 Medicilândia";90;58;63;50;43;42;39;25;42;452
"150450 Melgaço";78;54;42;50;55;66;58;56;67;526
"150460 Mocajuba";141;106;117;128;117;140;143;141;148;1181
"150470 Moju";171;119;137;135;157;144;155;166;-;1184
"150480 Monte Alegre";324;268;208;215;259;207;227;206;-;1914
"150490 Muaná";137;124;123;140;128;151;-;-;-;803
"150495 Nova Esperança do Piriá";79;33;64;69;108;76;101;75;33;638
"150497 Nova Ipixuna";3;-;1;7;6;6;6;10;-;39
"150503 Novo Progresso";197;182;101;99;162;166;152;166;-;1225
"150506 Novo Repartimento";111;97;119;105;109;98;121;101;75;936
"150510 Óbidos";191;203;191;229;186;201;200;-;-;1401
"150520 Oeiras do Pará";83;59;41;1;152;75;65;86;89;651
"150530 Oriximiná";300;220;229;292;252;303;314;295;-;2205
"150540 Ourém";32;27;27;22;42;55;85;69;-;359
"150543 Ourilândia do Norte";250;272;253;221;234;239;244;284;282;2279
"150548 Pacajá";108;114;119;128;101;99;112;-;-;781
"150549 Palestina do Pará";40;11;30;18;31;27;25;35;-;217
"150550 Paragominas";491;492;278;379;444;461;689;624;660;4518
"150553 Parauapebas";540;792;713;721;715;612;607;554;592;5846
"150555 Pau D'Arco";25;26;22;17;20;11;24;15;14;174
"150563 Piçarra";52;47;43;54;46;-;55;48;49;394
"150565 Placas";92;93;83;81;93;95;115;101;-;753
"150570 Ponta de Pedras";-;94;85;-;-;53;-;-;88;320
"150580 Portel";151;109;139;127;128;156;143;-;-;953
"150590 Porto de Moz";171;160;165;179;173;182;211;180;163;1584
"150600 Prainha";87;116;84;82;89;52;56;79;50;695
"150613 Redenção";655;615;486;610;595;663;616;823;709;5772
"150616 Rio Maria";88;84;68;61;112;86;111;85;-;695
"150618 Rondon do Pará";272;198;207;237;242;256;282;272;277;2243
"150619 Rurópolis";82;103;104;100;100;102;121;103;-;815
"150620 Salinópolis";138;155;168;132;177;178;239;237;200;1624
"150630 Salvaterra";77;75;78;75;75;76;76;89;86;707
"150640 Santa Cruz do Arari";37;39;32;36;32;38;36;34;35;319
"150650 Santa Izabel do Pará";48;21;70;100;86;78;93;-;-;496
"150658 Santa Maria das Barreiras";72;49;69;45;58;39;53;34;28;447
"150660 Santa Maria do Pará";70;62;69;44;48;64;35;36;-;428
"150670 Santana do Araguaia";206;116;151;121;155;160;142;124;177;1352
"150680 Santarém";1528;1117;1190;1414;1495;1631;1706;1501;1807;13389
"150700 Santo Antônio do Tauá";215;68;75;93;146;167;398;403;434;1999
"150715 São Domingos do Araguaia";18;10;9;12;22;22;28;27;20;168
"150720 São Domingos do Capim";45;41;5;57;56;88;72;71;57;492
"150730 São Félix do Xingu";464;347;249;539;382;342;477;404;316;3520
"150745 São Geraldo do Araguaia";19;30;17;31;58;44;54;59;-;312
"150747 São João de Pirabas";45;39;33;32;45;52;59;56;28;389
"150750 São João do Araguaia";13;11;9;4;8;9;10;10;9;83
"150760 São Miguel do Guamá";21;12;12;26;25;40;38;94;-;268
"150770 São Sebastião da Boa Vista";89;79;-;160;83;91;41;93;97;733
"150775 Sapucaia";18;22;26;27;26;23;22;21;23;208
"150780 Senador José Porfírio";93;53;47;41;82;61;72;76;-;525
