 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;1500,00;19500,00;40500,00;42000,00;6000,00;6000,00;25500,00;141000,00
"110037 Alto Alegre dos Parecis";-;-;-;4500,00;7500,00;6000,00;-;-;-;18000,00
"110040 Alto Paraíso";-;-;3000,00;10500,00;15016,00;3000,00;1500,00;-;1540,00;34556,00
"110002 Ariquemes";-;147500,00;310680,24;432092,35;400957,50;-;-;-;-;1291230,09
"110045 Buritis";-;1500,00;1500,00;13537,95;28548,39;25516,00;20153,37;7516,00;1500,00;99771,71
"110003 Cabixi";-;-;-;3000,00;1500,00;-;-;-;4500,00;9000,00
"110004 Cacoal";1744,36;-;53192,05;106622,07;73076,02;74493,48;46403,19;23507,40;15961,01;394999,58
"110070 Campo Novo de Rondônia";-;-;6000,00;-;1500,00;-;-;-;-;7500,00
"110005 Cerejeiras";-;-;-;-;3000,00;4500,00;3000,00;3016,00;1500,00;15016,00
"110006 Colorado do Oeste";-;-;1500,00;7500,00;10500,00;9000,00;7500,00;6000,00;4500,00;46500,00
"110094 Cujubim";-;-;4500,00;7500,00;7500,00;-;3000,00;3000,00;-;25500,00
"110009 Espigão D'Oeste";-;6056,00;3064,00;3032,00;3048,00;-;6040,00;3032,00;3040,00;27312,00
"110010 Guajará-Mirim";-;12038,10;95157,30;90448,00;42072,00;13548,00;15024,00;19597,40;-;287884,80
"110011 Jaru";-;3000,00;134672,00;246552,95;121827,42;138336,75;129641,55;32062,37;-;806093,04
"110012 Ji-Paraná";1500,00;3000,00;30241,30;70052,91;121566,35;71062,95;44373,20;57538,28;4995,00;404329,99
"110013 Machadinho D'Oeste";-;-;6000,00;4500,00;10540,00;15037,95;4500,00;-;-;40577,95
"110130 Mirante da Serra";-;1500,00;-;1500,00;3000,00;3000,00;-;-;-;9000,00
"110140 Monte Negro";-;-;-;4500,00;6008,00;13596,00;3000,00;3000,00;-;30104,00
"110014 Nova Brasilândia D'Oeste";-;3000,00;1500,00;4500,00;13500,00;13500,00;-;-;-;36000,00
"110033 Nova Mamoré";-;4500,00;9000,00;28500,00;21000,00;10500,00;6000,00;9004,67;-;88504,67
"110143 Nova União";-;-;-;1500,00;3000,00;-;-;-;-;4500,00
"110018 Pimenta Bueno";-;4500,00;7500,00;12127,44;15947,23;22551,02;-;9445,01;-;72070,70
"110146 Pimenteiras do Oeste";-;-;1500,00;10620,00;3000,00;4500,00;-;-;-;19620,00
"110020 Porto Velho";186096,13;957214,95;1967433,26;2907151,10;2599303,84;1750193,23;843642,64;697463,51;680247,29;12588745,95
"110025 Presidente Médici";-;-;-;3008,00;3000,00;3008,00;4524,00;9032,00;-;22572,00
"110028 Rolim de Moura";1500,00;-;4516,00;28652,00;9000,00;30032,00;7508,00;6072,20;12048,00;99328,20
"110029 Santa Luzia D'Oeste";-;-;3000,00;3000,00;4508,00;3008,00;-;-;-;13516,00
"110149 São Francisco do Guaporé";-;-;-;7580,00;7524,00;15040,00;16540,39;16512,69;4508,00;67705,08
"110032 São Miguel do Guaporé";1508,00;-;-;9064,00;6096,00;16724,00;6064,00;-;-;39456,00
"110170 Urupá";-;-;-;-;-;-;4500,00;3000,00;-;7500,00
"110180 Vale do Paraíso";-;-;-;3000,00;-;-;-;1500,00;15000,00;19500,00
"110030 Vilhena";46198,36;34532,24;164205,84;181257,06;223416,14;289961,43;317975,88;228835,29;33256,70;1519638,94
"120001 Acrelândia";3000,00;-;-;-;4500,00;10580,00;-;-;-;18080,00
"120010 Brasiléia";-;13550,80;21298,45;53712,85;41389,00;13747,65;10658,75;4588,90;25941,45;184887,85
"120020 Cruzeiro do Sul";-;13018,87;119181,11;470022,79;349940,14;309318,87;131695,33;98415,18;66138,87;1557731,16
"120030 Feijó";-;-;-;-;-;-;-;3016,00;1508,00;4524,00
"120034 Manoel Urbano";-;-;-;-;-;1548,00;-;-;-;1548,00
"120038 Plácido de Castro";-;-;-;1500,00;-;-;-;-;-;1500,00
"120040 Rio Branco";-;19314,51;447934,34;509857,97;453979,39;538205,51;620455,49;625691,10;673475,43;3888913,74
"120050 Sena Madureira";-;3104,78;27156,42;21081,12;24260,66;21001,00;13572,12;6024,00;42060,18;158260,28
"120045 Senador Guiomard";-;-;-;4500,00;1500,00;-;-;-;-;6000,00
"120060 Tarauacá";-;1532,00;-;-;-;6216,00;6184,00;6092,05;16861,78;36885,83
"120070 Xapuri";-;-;-;1500,00;16780,00;3120,00;12168,00;6072,00;4532,00;44172,00
"130002 Alvarães";-;34500,00;27000,00;18361,08;13500,00;6000,00;15000,00;-;-;114361,08
"130006 Amaturá";-;18397,95;7596,00;4605,00;-;-;-;-;-;30598,95
"130014 Apuí";-;4500,00;10500,00;6000,00;1500,00;-;-;-;-;22500,00
"130020 Atalaia do Norte";-;3032,00;19821,00;1524,00;4580,00;-;7540,00;9193,00;-;45690,00
"130030 Autazes";-;40716,00;-;6032,00;1500,00;4516,00;9048,00;9016,00;6008,00;76836,00
"130040 Barcelos";-;-;-;33000,00;-;-;-;-;-;33000,00
"130060 Benjamin Constant";-;42016,00;13500,00;18000,00;6000,00;9000,00;9000,00;7516,00;-;105032,00
"130068 Boa Vista do Ramos";-;4500,00;-;21008,00;3000,00;33037,95;7500,00;48000,00;27000,00;144045,95
"130070 Boca do Acre";-;18000,00;24000,00;27000,00;10500,00;16500,00;16500,00;21000,00;-;133500,00
"130080 Borba";6080,00;56508,00;29340,00;10716,00;-;7676,00;1532,00;4572,00;48992,00;165416,00
"130100 Carauari";-;-;-;6333,00;17944,01;20217,97;11509,01;29986,95;21494,33;107485,27
"130110 Careiro";-;52940,00;28500,00;7516,00;6000,00;4500,00;4500,00;1500,00;4500,00;109956,00
"130120 Coari";-;132211,70;140462,40;19785,75;23046,10;29236,60;54806,08;41223,90;27653,20;468425,73
"130130 Codajás";-;-;-;-;40500,00;6000,00;27000,00;25500,00;-;99000,00
"130140 Eirunepé";-;-;-;-;36008,00;-;-;-;-;36008,00
"130150 Envira";-;-;-;-;-;4500,00;18000,00;4500,00;-;27000,00
"130160 Fonte Boa";-;33744,00;32028,00;10892,00;13772,00;7772,00;15280,00;19892,00;-;133380,00
"130165 Guajará";-;4500,00;22500,00;51088,00;25537,00;3000,00;7500,00;1500,00;-;115625,00
"130170 Humaitá";1500,00;16588,90;58677,80;137339,35;72559,94;46381,06;15450,62;12463,32;14323,97;375284,96
"130180 Ipixuna";-;-;-;-;-;51216,00;69136,00;61716,00;-;182068,00
"130185 Iranduba";6000,00;6000,00;-;1500,00;1500,00;-;9000,00;30000,00;-;54000,00
"130190 Itacoatiara";44356,00;190836,12;144301,26;102672,54;19812,00;71548,00;76240,00;-;-;649765,92
"130200 Itapiranga";-;-;-;-;-;-;7500,00;30000,00;-;37500,00
"130210 Japurá";-;-;13500,00;-;1540,00;1540,00;-;-;-;16580,00
"130220 Juruá";-;-;-;-;-;9096,00;-;-;-;9096,00
"130230 Jutaí";-;-;-;-;4500,00;6000,00;4500,00;-;-;15000,00
"130250 Manacapuru";67076,35;133749,14;89932,44;42440,81;42823,61;34121,43;53345,48;21519,62;-;485008,88
"130260 Manaus";186021,93;5366970,18;7738808,68;5676698,52;3700896,18;2504642,37;1979506,30;3591128,48;-;30744672,64
"130270 Manicoré";-;-;10828,00;16916,00;90560,42;58765,26;23248,18;9112,00;-;209429,86
"130290 Maués";-;42000,00;73500,00;21000,00;21016,00;19604,00;41508,00;81177,14;-;299805,14
"130300 Nhamundá";-;-;-;1500,00;39176,00;24040,12;12088,00;7500,00;-;84304,12
"130320 Novo Airão";3000,00;7540,00;10772,00;6136,00;9088,00;4580,00;1540,00;7604,00;13692,00;63952,00
"130340 Parintins";-;77342,52;256573,20;251849,52;206602,80;216519,64;266223,45;271479,10;127686,15;1674276,38
"130350 Pauini";-;-;4500,00;-;-;-;16500,00;-;-;21000,00
"130353 Presidente Figueiredo";13804,00;55376,00;21591,99;26124,00;3040,00;6080,00;-;-;-;126015,99
"130356 Rio Preto da Eva";-;9000,00;6000,00;13500,00;39640,00;10732,00;10644,00;13860,00;13796,00;117172,00
"130370 Santo Antônio do Içá";-;-;70500,00;27000,00;33000,00;6000,00;-;25500,00;-;162000,00
"130380 São Gabriel da Cachoeira";-;-;1500,00;-;-;-;-;-;-;1500,00
"130390 São Paulo de Olivença";-;21000,00;24000,00;22500,00;6000,00;10644,00;9072,00;-;-;93216,00
"130395 São Sebastião do Uatumã";-;-;-;21000,00;13500,00;7500,00;1500,00;3000,00;-;46500,00
"130406 Tabatinga";-;73112,78;68035,93;35357,43;48207,84;8160,71;4700,90;6452,33;-;244027,92
