,DataObito,Sistema,Quantidade
0,2020-02-03,Sim,2.0
1,2020-02-05,Sim,1.0
2,2020-02-07,Sim,2.0
3,2020-02-08,Sim,1.0
4,2020-02-09,Sim,1.0
5,2020-02-11,Sim,2.0
6,2020-02-12,Sim,1.0
7,2020-02-13,Sim,2.0
8,2020-02-14,Sim,5.0
9,2020-02-15,Sim,3.0
10,2020-02-16,Sim,1.0
11,2020-02-17,Sim,2.0
12,2020-02-18,Sim,1.0
13,2020-02-19,Sim,4.0
14,2020-02-20,Sim,4.0
15,2020-02-21,Sim,3.0
16,2020-02-22,Sim,1.0
17,2020-02-23,Sim,2.0
18,2020-02-24,Sim,2.0
19,2020-02-26,Sim,3.0
20,2020-02-27,Sim,1.0
21,2020-02-28,Sim,5.0
22,2020-02-29,Sim,1.0
23,2020-03-01,Sim,2.0
24,2020-03-02,Sim,5.0
25,2020-03-03,Sim,1.0
26,2020-03-04,Sim,1.0
27,2020-03-05,Sim,1.0
28,2020-03-06,Sim,1.0
29,2020-03-08,Sim,1.0
30,2020-03-09,Sim,2.0
31,2020-03-10,Sim,3.0
32,2020-03-11,Sim,1.0
33,2020-03-12,Sim,2.0
34,2020-03-13,Sim,2.0
35,2020-03-14,Sim,5.0
36,2020-03-15,Sim,3.0
37,2020-03-16,Sim,8.0
38,2020-03-17,Sim,2.0
39,2020-03-18,Sim,9.0
40,2020-03-19,Sim,15.0
41,2020-03-20,Sim,17.0
42,2020-03-21,Sim,19.0
43,2020-03-22,Sim,20.0
44,2020-03-23,Sim,33.0
45,2020-03-24,Sim,41.0
46,2020-03-25,Sim,40.0
47,2020-03-26,Sim,47.0
48,2020-03-27,Sim,51.0
49,2020-03-28,Sim,65.0
50,2020-03-29,Sim,60.0
51,2020-03-30,Sim,86.0
52,2020-03-31,Sim,95.0
53,2020-04-01,Sim,103.0
54,2020-04-02,Sim,121.0
55,2020-04-03,Sim,148.0
56,2020-04-04,Sim,160.0
57,2020-04-05,Sim,181.0
58,2020-04-06,Sim,166.0
59,2020-04-07,Sim,172.0
60,2020-04-08,Sim,188.0
61,2020-04-09,Sim,188.0
62,2020-04-10,Sim,207.0
63,2020-04-11,Sim,233.0
64,2020-04-12,Sim,256.0
65,2020-04-13,Sim,261.0
66,2020-04-14,Sim,255.0
67,2020-04-15,Sim,293.0
68,2020-04-16,Sim,321.0
69,2020-04-17,Sim,323.0
70,2020-04-18,Sim,389.0
71,2020-04-19,Sim,392.0
72,2020-04-20,Sim,436.0
73,2020-04-21,Sim,418.0
74,2020-04-22,Sim,514.0
75,2020-04-23,Sim,545.0
76,2020-04-24,Sim,547.0
77,2020-04-25,Sim,599.0
78,2020-04-26,Sim,638.0
79,2020-04-27,Sim,637.0
80,2020-04-28,Sim,730.0
81,2020-04-29,Sim,760.0
82,2020-04-30,Sim,739.0
83,2020-05-01,Sim,763.0
84,2020-05-02,Sim,816.0
85,2020-05-03,Sim,861.0
86,2020-05-04,Sim,888.0
87,2020-05-05,Sim,935.0
88,2020-05-06,Sim,923.0
89,2020-05-07,Sim,924.0
90,2020-05-08,Sim,958.0
91,2020-05-09,Sim,983.0
92,2020-05-10,Sim,985.0
93,2020-05-11,Sim,1005.0
94,2020-05-12,Sim,1068.0
95,2020-05-13,Sim,1015.0
96,2020-05-14,Sim,1020.0
97,2020-05-15,Sim,981.0
98,2020-05-16,Sim,1011.0
99,2020-05-17,Sim,1072.0
100,2020-05-18,Sim,1047.0
101,2020-05-19,Sim,1026.0
102,2020-05-20,Sim,1007.0
103,2020-05-21,Sim,1030.0
104,2020-05-22,Sim,1115.0
105,2020-05-23,Sim,1014.0
106,2020-05-24,Sim,988.0
107,2020-05-25,Sim,1063.0
108,2020-05-26,Sim,984.0
109,2020-05-27,Sim,1022.0
110,2020-05-28,Sim,1024.0
111,2020-05-29,Sim,1030.0
112,2020-05-30,Sim,1000.0
113,2020-05-31,Sim,957.0
114,2020-06-01,Sim,1011.0
115,2020-06-02,Sim,1012.0
116,2020-06-03,Sim,999.0
117,2020-06-04,Sim,1030.0
118,2020-06-05,Sim,981.0
119,2020-06-06,Sim,1007.0
120,2020-06-07,Sim,917.0
121,2020-06-08,Sim,971.0
122,2020-06-09,Sim,947.0
123,2020-06-10,Sim,975.0
124,2020-06-11,Sim,965.0
125,2020-06-12,Sim,974.0
126,2020-06-13,Sim,977.0
127,2020-06-14,Sim,939.0
128,2020-06-15,Sim,973.0
129,2020-06-16,Sim,973.0
130,2020-06-17,Sim,970.0
131,2020-06-18,Sim,922.0
132,2020-06-19,Sim,964.0
133,2020-06-20,Sim,946.0
134,2020-06-21,Sim,928.0
135,2020-06-22,Sim,1015.0
136,2020-06-23,Sim,932.0
137,2020-06-24,Sim,961.0
