,DataObito,Sim,Sivep,DiferencaPercentual
0,2020-02-03,2,0.0,inf
1,2020-02-05,1,0.0,inf
2,2020-02-07,2,0.0,inf
3,2020-02-08,1,0.0,inf
4,2020-02-09,1,0.0,inf
5,2020-02-11,2,0.0,inf
6,2020-02-12,1,0.0,inf
7,2020-02-13,2,0.0,inf
8,2020-02-14,5,0.0,inf
9,2020-02-15,3,0.0,inf
10,2020-02-16,1,0.0,inf
11,2020-02-17,2,0.0,inf
12,2020-02-18,1,0.0,inf
13,2020-02-19,4,0.0,inf
14,2020-02-20,4,0.0,inf
15,2020-02-21,3,0.0,inf
16,2020-02-22,1,0.0,inf
17,2020-02-23,2,0.0,inf
18,2020-02-24,2,0.0,inf
19,2020-02-26,3,0.0,inf
20,2020-02-27,1,0.0,inf
21,2020-02-28,5,0.0,inf
22,2020-02-29,1,0.0,inf
23,2020-03-01,2,0.0,inf
24,2020-03-02,5,0.0,inf
25,2020-03-03,1,0.0,inf
26,2020-03-04,1,0.0,inf
27,2020-03-05,1,0.0,inf
28,2020-03-06,1,0.0,inf
29,2020-03-08,1,0.0,inf
30,2020-03-09,2,0.0,inf
31,2020-03-10,3,0.0,inf
32,2020-03-11,1,0.0,inf
33,2020-03-12,2,1.0,100.0
34,2020-03-13,2,0.0,inf
35,2020-03-14,5,0.0,inf
36,2020-03-15,3,2.0,50.0
37,2020-03-16,8,3.0,166.67
38,2020-03-17,2,4.0,-50.0
39,2020-03-18,9,7.0,28.57
40,2020-03-19,15,7.0,114.29
41,2020-03-20,17,12.0,41.67
42,2020-03-21,19,14.0,35.71
43,2020-03-22,20,18.0,11.11
44,2020-03-23,33,33.0,0.0
45,2020-03-24,41,28.0,46.43
46,2020-03-25,40,31.0,29.03
47,2020-03-26,47,42.0,11.9
48,2020-03-27,51,45.0,13.33
49,2020-03-28,65,49.0,32.65
50,2020-03-29,60,51.0,17.65
51,2020-03-30,86,68.0,26.47
52,2020-03-31,95,80.0,18.75
53,2020-04-01,103,84.0,22.62
54,2020-04-02,121,105.0,15.24
55,2020-04-03,148,110.0,34.55
56,2020-04-04,160,122.0,31.15
57,2020-04-05,181,130.0,39.23
58,2020-04-06,166,120.0,38.33
59,2020-04-07,172,139.0,23.74
60,2020-04-08,188,139.0,35.25
61,2020-04-09,188,140.0,34.29
62,2020-04-10,207,166.0,24.7
63,2020-04-11,233,168.0,38.69
64,2020-04-12,256,191.0,34.03
65,2020-04-13,261,217.0,20.28
66,2020-04-14,255,197.0,29.44
67,2020-04-15,293,206.0,42.23
68,2020-04-16,321,232.0,38.36
69,2020-04-17,323,239.0,35.15
70,2020-04-18,389,248.0,56.85
71,2020-04-19,392,284.0,38.03
72,2020-04-20,436,293.0,48.81
73,2020-04-21,418,297.0,40.74
74,2020-04-22,514,321.0,60.12
75,2020-04-23,545,360.0,51.39
76,2020-04-24,547,410.0,33.41
77,2020-04-25,599,409.0,46.45
78,2020-04-26,638,415.0,53.73
79,2020-04-27,637,442.0,44.12
80,2020-04-28,730,483.0,51.14
81,2020-04-29,760,519.0,46.44
82,2020-04-30,739,472.0,56.57
83,2020-05-01,763,539.0,41.56
84,2020-05-02,816,582.0,40.21
85,2020-05-03,861,570.0,51.05
86,2020-05-04,888,611.0,45.34
87,2020-05-05,935,653.0,43.19
88,2020-05-06,923,587.0,57.24
89,2020-05-07,924,635.0,45.51
90,2020-05-08,958,686.0,39.65
91,2020-05-09,983,670.0,46.72
92,2020-05-10,985,688.0,43.17
93,2020-05-11,1005,716.0,40.36
94,2020-05-12,1068,755.0,41.46
95,2020-05-13,1015,745.0,36.24
96,2020-05-14,1020,765.0,33.33
97,2020-05-15,981,761.0,28.91
98,2020-05-16,1011,754.0,34.08
99,2020-05-17,1072,750.0,42.93
100,2020-05-18,1047,774.0,35.27
101,2020-05-19,1026,797.0,28.73
102,2020-05-20,1007,798.0,26.19
103,2020-05-21,1030,775.0,32.9
104,2020-05-22,1115,858.0,29.95
105,2020-05-23,1014,805.0,25.96
106,2020-05-24,988,746.0,32.44
107,2020-05-25,1063,828.0,28.38
108,2020-05-26,984,780.0,26.15
109,2020-05-27,1022,815.0,25.4
110,2020-05-28,1024,809.0,26.58
111,2020-05-29,1030,852.0,20.89
112,2020-05-30,1000,816.0,22.55
113,2020-05-31,957,780.0,22.69
114,2020-06-01,1011,813.0,24.35
115,2020-06-02,1012,796.0,27.14
116,2020-06-03,999,829.0,20.51
117,2020-06-04,1030,829.0,24.25
118,2020-06-05,981,794.0,23.55
119,2020-06-06,1007,862.0,16.82
120,2020-06-07,917,784.0,16.96
121,2020-06-08,971,791.0,22.76
122,2020-06-09,947,776.0,22.04
123,2020-06-10,975,850.0,14.71
124,2020-06-11,965,805.0,19.88
125,2020-06-12,974,813.0,19.8
126,2020-06-13,977,843.0,15.9
127,2020-06-14,939,782.0,20.08
128,2020-06-15,973,832.0,16.95
129,2020-06-16,973,852.0,14.2
130,2020-06-17,970,841.0,15.34
131,2020-06-18,922,821.0,12.3
132,2020-06-19,964,807.0,19.45
133,2020-06-20,946,795.0,18.99
134,2020-06-21,928,821.0,13.03
135,2020-06-22,1015,864.0,17.48
136,2020-06-23,932,786.0,18.58
137,2020-06-24,961,846.0,13.59
138,2020-06-25,961,812.0,18.35
139,2020-06-26,899,791.0,13.65
140,2020-06-27,906,777.0,16.6
141,2020-06-28,957,822.0,16.42
142,2020-06-29,977,856.0,14.14
143,2020-06-30,963,831.0,15.88
144,2020-07-01,947,824.0,14.93
145,2020-07-02,1034,884.0,16.97
146,2020-07-03,970,844.0,14.93
147,2020-07-04,914,826.0,10.65
148,2020-07-05,981,871.0,12.63
149,2020-07-06,973,857.0,13.54
150,2020-07-07,984,886.0,11.06
