,codibge,nome_municipio,sigla_uf,Sim,Sivep,DiferençaPercentual
0,110001,Alta Floresta D'oeste,RO,59.0,48.0,22.92
1,110002,Ariquemes,RO,359.0,365.0,-1.64
2,110003,Cabixi,RO,11.0,2.0,450.0
3,110004,Cacoal,RO,209.0,140.0,49.29
4,110005,Cerejeiras,RO,48.0,38.0,26.32
5,110006,Colorado Do Oeste,RO,33.0,23.0,43.48
6,110007,Corumbiara,RO,11.0,14.0,-21.43
7,110008,Costa Marques,RO,32.0,24.0,33.33
8,110009,Espigão D'oeste,RO,54.0,64.0,-15.62
9,110010,Guajará-Mirim,RO,196.0,149.0,31.54
10,110011,Jaru,RO,151.0,161.0,-6.21
11,110012,Ji-Paraná,RO,445.0,475.0,-6.32
12,110013,Machadinho D'oeste,RO,80.0,34.0,135.29
13,110014,Nova Brasilândia D'oeste,RO,25.0,13.0,92.31
14,110015,Ouro Preto Do Oeste,RO,116.0,101.0,14.85
15,110018,Pimenta Bueno,RO,56.0,56.0,0.0
16,110020,Porto Velho,RO,2034.0,1780.0,14.27
17,110025,Presidente Médici,RO,59.0,34.0,73.53
18,110026,Rio Crespo,RO,10.0,6.0,66.67
19,110028,Rolim De Moura,RO,135.0,107.0,26.17
20,110029,Santa Luzia D'oeste,RO,9.0,9.0,0.0
21,110030,Vilhena,RO,221.0,176.0,25.57
22,110032,São Miguel Do Guaporé,RO,41.0,18.0,127.78
23,110033,Nova Mamoré,RO,58.0,54.0,7.41
24,110034,Alvorada D'oeste,RO,21.0,32.0,-34.38
25,110037,Alto Alegre Dos Parecis,RO,29.0,29.0,0.0
26,110040,Alto Paraíso,RO,37.0,35.0,5.71
27,110045,Buritis,RO,59.0,62.0,-4.84
28,110050,Novo Horizonte Do Oeste,RO,17.0,7.0,142.86
29,110060,Cacaulândia,RO,11.0,12.0,-8.33
30,110070,Campo Novo De Rondônia,RO,26.0,16.0,62.5
31,110080,Candeias Do Jamari,RO,75.0,59.0,27.12
32,110090,Castanheiras,RO,7.0,4.0,75.0
33,110092,Chupinguaia,RO,19.0,8.0,137.5
34,110094,Cujubim,RO,30.0,27.0,11.11
35,110100,Governador Jorge Teixeira,RO,14.0,6.0,133.33
