,ano,mes,CodigoUF,Quantidade_sim,Quantidade_sivep,Diferenca,Código UF,Unidade da Federação,UF
0,2020,2,16,1,0.0,1.0,16,Amapá,AP
1,2020,2,21,4,0.0,4.0,21,Maranhão,MA
2,2020,2,23,6,0.0,6.0,23,Ceará,CE
3,2020,2,24,1,0.0,1.0,24,Rio Grande do Norte,RN
4,2020,2,25,2,0.0,2.0,25,Paraíba,PB
5,2020,2,26,2,0.0,2.0,26,Pernambuco,PE
6,2020,2,29,5,0.0,5.0,29,Bahia,BA
7,2020,2,31,10,0.0,10.0,31,Minas Gerais,MG
8,2020,2,32,1,0.0,1.0,32,Espírito Santo,ES
9,2020,2,33,1,0.0,1.0,33,Rio de Janeiro,RJ
10,2020,2,35,5,0.0,5.0,35,São Paulo,SP
11,2020,2,41,2,0.0,2.0,41,Paraná,PR
12,2020,2,42,1,0.0,1.0,42,Santa Catarina,SC
13,2020,2,43,2,0.0,2.0,43,Rio Grande do Sul (*),RS
14,2020,2,50,1,0.0,1.0,50,Mato Grosso do Sul,MS
15,2020,2,51,1,0.0,1.0,51,Mato Grosso,MT
16,2020,2,52,1,0.0,1.0,52,Goiás,GO
17,2020,2,53,4,0.0,4.0,53,Distrito Federal,DF
18,2020,3,11,3,1.0,2.0,11,Rondônia,RO
19,2020,3,13,4,4.0,0.0,13,Amazonas,AM
20,2020,3,15,4,2.0,2.0,15,Pará,PA
21,2020,3,16,1,0.0,1.0,16,Amapá,AP
22,2020,3,17,1,0.0,1.0,17,Tocantins,TO
23,2020,3,21,5,2.0,3.0,21,Maranhão,MA
24,2020,3,22,5,2.0,3.0,22,Piauí,PI
25,2020,3,23,54,21.0,33.0,23,Ceará,CE
26,2020,3,24,10,4.0,6.0,24,Rio Grande do Norte,RN
27,2020,3,25,11,6.0,5.0,25,Paraíba,PB
28,2020,3,26,16,20.0,-4.0,26,Pernambuco,PE
29,2020,3,27,5,2.0,3.0,27,Alagoas,AL
30,2020,3,29,10,3.0,7.0,29,Bahia,BA
31,2020,3,31,20,9.0,11.0,31,Minas Gerais,MG
32,2020,3,32,1,1.0,0.0,32,Espírito Santo,ES
33,2020,3,33,112,92.0,20.0,33,Rio de Janeiro,RJ
34,2020,3,35,335,306.0,29.0,35,São Paulo,SP
35,2020,3,41,4,4.0,0.0,41,Paraná,PR
36,2020,3,42,6,5.0,1.0,42,Santa Catarina,SC
37,2020,3,43,5,4.0,1.0,43,Rio Grande do Sul (*),RS
38,2020,3,50,1,1.0,0.0,50,Mato Grosso do Sul,MS
39,2020,3,51,1,0.0,1.0,51,Mato Grosso,MT
40,2020,3,52,15,2.0,13.0,52,Goiás,GO
41,2020,3,53,9,4.0,5.0,53,Distrito Federal,DF
42,2020,4,11,21,20.0,1.0,11,Rondônia,RO
43,2020,4,12,23,21.0,2.0,12,Acre,AC
44,2020,4,13,1179,523.0,656.0,13,Amazonas,AM
45,2020,4,14,9,7.0,2.0,14,Roraima,RR
46,2020,4,15,770,608.0,162.0,15,Pará,PA
47,2020,4,16,57,32.0,25.0,16,Amapá,AP
48,2020,4,17,4,5.0,-1.0,17,Tocantins,TO
49,2020,4,21,293,313.0,-20.0,21,Maranhão,MA
50,2020,4,22,26,20.0,6.0,22,Piauí,PI
51,2020,4,23,961,601.0,360.0,23,Ceará,CE
52,2020,4,24,57,52.0,5.0,24,Rio Grande do Norte,RN
