,UF,Sistema,Quantidade
0,RO,Sim,5059
1,AC,Sim,1491
2,AM,Sim,12095
3,RR,Sim,1448
4,PA,Sim,14651
5,AP,Sim,1730
6,TO,Sim,2728
7,MA,Sim,9039
8,PI,Sim,5165
9,CE,Sim,19101
10,RN,Sim,5925
11,PB,Sim,6688
12,PE,Sim,15460
13,AL,Sim,5709
14,SE,Sim,3869
15,BA,Sim,19572
16,MG,Sim,36455
17,ES,Sim,7823
18,RJ,Sim,46081
19,SP,Sim,96285
20,PR,Sim,22826
21,SC,Sim,13206
22,RS,Sim,22651
23,MS,Sim,5053
24,MT,Sim,9043
25,GO,Sim,16848
26,DF,Sim,5490
27,RO,Sivep,4340
28,AC,Sivep,1324
29,AM,Sivep,8495
30,RR,Sivep,1155
31,PA,Sivep,12688
32,AP,Sivep,1080
33,TO,Sivep,2476
34,MA,Sivep,5444
35,PI,Sivep,4007
36,CE,Sivep,15194
37,RN,Sivep,4523
38,PB,Sivep,6346
39,PE,Sivep,14017
40,AL,Sivep,4626
41,SE,Sivep,4204
42,BA,Sivep,14932
43,MG,Sivep,35149
44,ES,Sivep,5844
45,RJ,Sivep,34030
46,SP,Sivep,85645
47,PR,Sivep,19392
48,SC,Sivep,13279
49,RS,Sivep,23529
50,MS,Sivep,5399
51,MT,Sivep,5555
52,GO,Sivep,15037
53,DF,Sivep,7144
