 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;1;-;-;-;-;-;1
"110037 Alto Alegre dos Parecis";-;-;-;-;-;2;-;-;-;2
"110002 Ariquemes";-;2;2;-;13;-;-;-;-;17
"110045 Buritis";-;-;-;-;-;-;1;-;-;1
"110003 Cabixi";-;-;-;1;1;-;-;-;-;2
"110004 Cacoal";-;-;1;5;4;4;3;-;2;19
"110006 Colorado do Oeste";-;-;-;-;-;1;-;-;-;1
"110009 Espigão D'Oeste";-;-;-;1;-;-;-;-;-;1
"110010 Guajará-Mirim";-;1;6;9;1;-;1;-;-;18
"110011 Jaru";-;-;5;2;4;1;3;-;-;15
"110012 Ji-Paraná";-;-;1;1;4;3;1;2;1;13
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;-;-;1
"110140 Monte Negro";-;-;-;-;-;1;-;-;-;1
"110033 Nova Mamoré";-;1;1;-;-;-;-;1;-;3
"110018 Pimenta Bueno";-;-;2;1;-;1;-;-;-;4
"110020 Porto Velho";6;25;82;115;134;93;40;16;16;527
"110025 Presidente Médici";-;-;-;-;-;-;-;1;-;1
"110028 Rolim de Moura";-;-;-;1;-;1;-;-;-;2
"110149 São Francisco do Guaporé";-;-;-;-;-;1;-;1;-;2
"110032 São Miguel do Guaporé";-;-;-;2;-;1;-;-;-;3
"110030 Vilhena";1;-;3;5;26;21;12;3;1;72
"120010 Brasiléia";-;4;1;3;2;1;-;-;-;11
"120020 Cruzeiro do Sul";-;2;15;32;13;18;5;3;3;91
"120040 Rio Branco";-;4;53;39;36;29;33;22;22;238
"120050 Sena Madureira";-;-;-;1;-;-;-;-;-;1
"120070 Xapuri";-;-;-;-;2;1;1;-;-;4
"130002 Alvarães";-;7;1;-;-;1;1;-;-;10
"130006 Amaturá";-;4;1;-;-;-;-;-;-;5
"130020 Atalaia do Norte";-;1;-;-;-;-;-;-;-;1
"130030 Autazes";-;1;-;-;-;-;-;-;-;1
"130040 Barcelos";-;-;-;3;-;-;-;-;-;3
"130060 Benjamin Constant";-;6;-;2;2;-;-;1;-;11
"130068 Boa Vista do Ramos";-;1;-;-;-;-;-;2;1;4
"130070 Boca do Acre";-;5;5;-;-;1;-;-;-;11
"130080 Borba";1;9;1;-;-;-;-;-;-;11
"130100 Carauari";-;-;-;-;3;-;2;1;5;11
"130110 Careiro";-;-;-;-;-;-;1;-;-;1
"130120 Coari";-;55;24;4;1;2;3;4;5;98
"130130 Codajás";-;-;-;-;1;-;-;-;-;1
"130160 Fonte Boa";-;6;6;2;-;1;-;-;-;15
"130170 Humaitá";-;-;5;18;-;-;-;-;-;23
"130185 Iranduba";-;-;-;-;-;-;-;1;-;1
"130190 Itacoatiara";2;18;4;-;-;4;1;-;-;29
"130230 Jutaí";-;-;-;-;1;-;-;-;-;1
"130250 Manacapuru";19;19;5;2;2;2;2;1;-;52
